clip	duration[ms]
common_voice_as_22080139.mp3	6144
common_voice_as_41099397.mp3	7020
common_voice_as_32862183.mp3	5328
common_voice_as_41249292.mp3	3888
common_voice_as_32862082.mp3	5256
common_voice_as_32850956.mp3	3888
common_voice_as_41094909.mp3	5688
common_voice_as_25157257.mp3	5436
common_voice_as_41079006.mp3	9900
common_voice_as_23362103.mp3	5232
common_voice_as_41109599.mp3	4068
common_voice_as_41152122.mp3	4068
common_voice_as_41090298.mp3	4896
common_voice_as_32852676.mp3	4356
common_voice_as_31496886.mp3	3816
common_voice_as_41095176.mp3	5400
common_voice_as_23362116.mp3	9240
common_voice_as_22152577.mp3	5496
common_voice_as_32849992.mp3	5328
common_voice_as_41097953.mp3	2700
common_voice_as_41252968.mp3	4680
common_voice_as_41248776.mp3	6120
common_voice_as_41110393.mp3	7128
common_voice_as_22030925.mp3	5784
common_voice_as_41096675.mp3	3420
common_voice_as_41132266.mp3	4716
common_voice_as_22157939.mp3	5184
common_voice_as_41091814.mp3	6696
common_voice_as_41077237.mp3	4932
common_voice_as_41154774.mp3	2808
common_voice_as_41092833.mp3	6948
common_voice_as_32852687.mp3	7668
common_voice_as_41106185.mp3	7488
common_voice_as_41200295.mp3	4536
common_voice_as_41168452.mp3	4068
common_voice_as_41343426.mp3	6660
common_voice_as_41128948.mp3	4428
common_voice_as_41112905.mp3	7488
common_voice_as_32850373.mp3	8280
common_voice_as_41168675.mp3	5688
common_voice_as_22077419.mp3	3936
common_voice_as_41106088.mp3	7776
common_voice_as_22084180.mp3	3864
common_voice_as_41116007.mp3	6948
common_voice_as_41078986.mp3	7488
common_voice_as_41083505.mp3	7380
common_voice_as_41093251.mp3	6696
common_voice_as_42484887.mp3	4068
common_voice_as_22152181.mp3	5856
common_voice_as_24196061.mp3	3528
common_voice_as_25095836.mp3	5976
common_voice_as_41273447.mp3	1908
common_voice_as_41112953.mp3	3240
common_voice_as_41109846.mp3	3780
common_voice_as_41109829.mp3	5796
common_voice_as_41325128.mp3	7020
common_voice_as_22157944.mp3	6096
common_voice_as_32546287.mp3	4968
common_voice_as_41260794.mp3	8640
common_voice_as_32862065.mp3	6480
common_voice_as_41091668.mp3	9720
common_voice_as_22080517.mp3	4536
common_voice_as_41095186.mp3	8928
common_voice_as_41094722.mp3	5868
common_voice_as_25101230.mp3	6480
common_voice_as_41244611.mp3	7236
common_voice_as_25081968.mp3	7128
common_voice_as_41090407.mp3	8388
common_voice_as_41110383.mp3	7020
common_voice_as_41084084.mp3	7488
common_voice_as_41310859.mp3	4176
common_voice_as_41109603.mp3	5688
common_voice_as_32852890.mp3	5580
common_voice_as_32546214.mp3	5436
common_voice_as_41325195.mp3	4536
common_voice_as_32862232.mp3	8388
common_voice_as_41078945.mp3	7596
common_voice_as_32843794.mp3	5508
common_voice_as_32546054.mp3	5508
common_voice_as_32844060.mp3	7560
common_voice_as_32844139.mp3	8136
common_voice_as_41090367.mp3	13176
common_voice_as_41123322.mp3	4248
common_voice_as_41099371.mp3	5040
common_voice_as_41099355.mp3	3456
common_voice_as_32850059.mp3	6336
common_voice_as_41164536.mp3	8028
common_voice_as_41304278.mp3	5400
common_voice_as_41082386.mp3	9396
common_voice_as_41112877.mp3	3816
common_voice_as_41093246.mp3	3456
common_voice_as_41271589.mp3	4968
common_voice_as_41165605.mp3	8136
common_voice_as_41260798.mp3	4428
common_voice_as_41099718.mp3	8280
common_voice_as_41083521.mp3	7848
common_voice_as_41273350.mp3	4356
common_voice_as_41109546.mp3	9756
common_voice_as_41110416.mp3	5940
common_voice_as_32869148.mp3	6696
common_voice_as_41090366.mp3	6120
common_voice_as_41144126.mp3	7560
common_voice_as_32869242.mp3	4788
common_voice_as_41123085.mp3	3888
common_voice_as_41273233.mp3	3528
common_voice_as_41102617.mp3	8100
common_voice_as_32862156.mp3	7236
common_voice_as_24178230.mp3	5400
common_voice_as_32852673.mp3	8388
common_voice_as_41168532.mp3	7776
common_voice_as_32841099.mp3	4896
common_voice_as_32850401.mp3	5328
common_voice_as_32862151.mp3	5508
common_voice_as_32862118.mp3	6516
common_voice_as_41080139.mp3	7200
common_voice_as_24178191.mp3	6696
common_voice_as_41138305.mp3	4176
common_voice_as_41096673.mp3	3456
common_voice_as_41080118.mp3	11628
common_voice_as_41132333.mp3	7308
common_voice_as_41106148.mp3	3888
common_voice_as_27196946.mp3	8172
common_voice_as_31496887.mp3	4356
common_voice_as_32850076.mp3	5796
common_voice_as_32850093.mp3	3780
