clip	duration[ms]
common_voice_sq_37817267.mp3	5472
common_voice_sq_40936971.mp3	2664
common_voice_sq_40929833.mp3	6552
common_voice_sq_40068281.mp3	5688
common_voice_sq_40875679.mp3	4644
common_voice_sq_40936913.mp3	3708
common_voice_sq_40916943.mp3	6840
common_voice_sq_40224537.mp3	5148
common_voice_sq_37780232.mp3	2916
common_voice_sq_40948188.mp3	2376
common_voice_sq_37795770.mp3	5976
common_voice_sq_40874708.mp3	4716
common_voice_sq_40874822.mp3	5364
common_voice_sq_40874769.mp3	5544
common_voice_sq_37791603.mp3	4896
common_voice_sq_40948337.mp3	3888
common_voice_sq_40872488.mp3	3348
common_voice_sq_40959741.mp3	5508
common_voice_sq_39821446.mp3	6336
common_voice_sq_40879644.mp3	4896
common_voice_sq_41854354.mp3	7632
common_voice_sq_40936844.mp3	5076
common_voice_sq_40959794.mp3	8496
common_voice_sq_40881155.mp3	4860
common_voice_sq_41517494.mp3	6516
common_voice_sq_40907241.mp3	5148
common_voice_sq_40864809.mp3	7488
common_voice_sq_40964868.mp3	8676
common_voice_sq_40959872.mp3	5868
common_voice_sq_37792872.mp3	5076
common_voice_sq_40936896.mp3	5220
common_voice_sq_40879633.mp3	4644
common_voice_sq_37803787.mp3	3420
common_voice_sq_40864553.mp3	3528
common_voice_sq_40880867.mp3	8172
common_voice_sq_40265377.mp3	3600
common_voice_sq_40948140.mp3	5256
common_voice_sq_40872499.mp3	4788
common_voice_sq_40876945.mp3	4536
common_voice_sq_40896162.mp3	7380
common_voice_sq_40880057.mp3	3492
common_voice_sq_40890473.mp3	3168
common_voice_sq_40876636.mp3	6516
common_voice_sq_40936793.mp3	7164
common_voice_sq_37800766.mp3	2916
common_voice_sq_40959879.mp3	3816
common_voice_sq_40876243.mp3	4896
common_voice_sq_40936747.mp3	5436
common_voice_sq_40891877.mp3	3420
common_voice_sq_37817171.mp3	4320
common_voice_sq_40897987.mp3	4284
common_voice_sq_40879959.mp3	5760
common_voice_sq_40866173.mp3	4932
common_voice_sq_37795549.mp3	4140
common_voice_sq_40887979.mp3	3384
common_voice_sq_40874445.mp3	3816
common_voice_sq_38535850.mp3	2988
common_voice_sq_40874303.mp3	5760
common_voice_sq_40872518.mp3	5040
common_voice_sq_37800866.mp3	2952
common_voice_sq_40896176.mp3	5616
common_voice_sq_40876975.mp3	3780
common_voice_sq_40876671.mp3	6804
common_voice_sq_40363587.mp3	6588
common_voice_sq_40890805.mp3	3888
common_voice_sq_40936983.mp3	5328
common_voice_sq_40896263.mp3	4680
common_voice_sq_40876281.mp3	4968
common_voice_sq_40891845.mp3	3528
common_voice_sq_40075785.mp3	2880
common_voice_sq_40875532.mp3	3420
common_voice_sq_40922283.mp3	4788
common_voice_sq_40864494.mp3	5184
common_voice_sq_40929909.mp3	7056
common_voice_sq_38535836.mp3	5220
common_voice_sq_40798820.mp3	8280
common_voice_sq_40959726.mp3	5616
common_voice_sq_40887944.mp3	7848
common_voice_sq_39575541.mp3	6624
common_voice_sq_40876695.mp3	4500
common_voice_sq_40069939.mp3	6588
common_voice_sq_40959660.mp3	7020
common_voice_sq_40907825.mp3	4320
common_voice_sq_40948204.mp3	3996
common_voice_sq_40959769.mp3	4500
common_voice_sq_40309870.mp3	7668
common_voice_sq_40075774.mp3	3024
common_voice_sq_40879598.mp3	5400
common_voice_sq_40890378.mp3	4500
common_voice_sq_40907804.mp3	7020
common_voice_sq_40936749.mp3	4572
common_voice_sq_39821536.mp3	6408
common_voice_sq_40907807.mp3	3420
common_voice_sq_37795682.mp3	3564
common_voice_sq_40874967.mp3	2916
common_voice_sq_40224547.mp3	6516
common_voice_sq_40875561.mp3	5796
common_voice_sq_40959874.mp3	4176
common_voice_sq_40870993.mp3	6588
common_voice_sq_40959881.mp3	5076
common_voice_sq_40879991.mp3	3132
common_voice_sq_40936752.mp3	3780
common_voice_sq_40891963.mp3	5256
common_voice_sq_40875705.mp3	6948
common_voice_sq_40964923.mp3	5040
common_voice_sq_40267045.mp3	3816
common_voice_sq_40874639.mp3	4968
common_voice_sq_41067965.mp3	4608
common_voice_sq_40876769.mp3	5544
common_voice_sq_40861515.mp3	6660
common_voice_sq_40880102.mp3	6084
common_voice_sq_40870620.mp3	5292
common_voice_sq_37800843.mp3	4896
common_voice_sq_40879625.mp3	5292
common_voice_sq_40948225.mp3	8424
common_voice_sq_37800788.mp3	3096
common_voice_sq_39813557.mp3	6408
common_voice_sq_40380247.mp3	7488
common_voice_sq_40880817.mp3	7452
common_voice_sq_40875535.mp3	6084
common_voice_sq_40887940.mp3	6876
common_voice_sq_40879961.mp3	4752
common_voice_sq_40875016.mp3	4284
common_voice_sq_40872248.mp3	9324
common_voice_sq_40875743.mp3	6120
common_voice_sq_40959853.mp3	5148
common_voice_sq_37792709.mp3	2916
common_voice_sq_40282499.mp3	6660
common_voice_sq_40224555.mp3	6516
common_voice_sq_40876646.mp3	3924
common_voice_sq_40872487.mp3	3780
common_voice_sq_40874983.mp3	5364
common_voice_sq_40959625.mp3	5796
common_voice_sq_40182994.mp3	6516
common_voice_sq_40869057.mp3	5040
common_voice_sq_40272653.mp3	3888
common_voice_sq_40959963.mp3	4176
common_voice_sq_40929866.mp3	6192
common_voice_sq_37800849.mp3	3600
common_voice_sq_40879756.mp3	4320
common_voice_sq_37603137.mp3	3780
common_voice_sq_40875704.mp3	3600
common_voice_sq_40868900.mp3	8496
common_voice_sq_39534566.mp3	4176
common_voice_sq_40872447.mp3	6444
common_voice_sq_40075740.mp3	3420
common_voice_sq_40929766.mp3	9252
common_voice_sq_37570322.mp3	2916
common_voice_sq_39574673.mp3	6372
common_voice_sq_40875070.mp3	3060
common_voice_sq_37798717.mp3	6768
common_voice_sq_40876862.mp3	4068
common_voice_sq_40928313.mp3	6336
common_voice_sq_40875793.mp3	4428
common_voice_sq_41854368.mp3	5976
common_voice_sq_37803844.mp3	5040
common_voice_sq_37795607.mp3	3312
common_voice_sq_40929869.mp3	4320
common_voice_sq_39575560.mp3	2880
common_voice_sq_37792989.mp3	2268
common_voice_sq_40936951.mp3	2556
common_voice_sq_40864935.mp3	7056
common_voice_sq_40873279.mp3	7488
common_voice_sq_40880086.mp3	6012
common_voice_sq_40879669.mp3	3420
common_voice_sq_41067982.mp3	4032
common_voice_sq_37795425.mp3	3204
common_voice_sq_40881164.mp3	2700
common_voice_sq_38535849.mp3	3276
common_voice_sq_40959724.mp3	4536
common_voice_sq_41854360.mp3	8388
common_voice_sq_40875019.mp3	6012
common_voice_sq_40864487.mp3	6336
common_voice_sq_40075792.mp3	3024
common_voice_sq_40875046.mp3	3312
common_voice_sq_40964851.mp3	7092
common_voice_sq_40881751.mp3	6156
common_voice_sq_37797101.mp3	8856
common_voice_sq_40874313.mp3	7200
common_voice_sq_37798718.mp3	5220
common_voice_sq_40876889.mp3	3024
common_voice_sq_40948198.mp3	6552
common_voice_sq_40864458.mp3	6876
common_voice_sq_38535825.mp3	5436
common_voice_sq_40075748.mp3	4788
common_voice_sq_37797102.mp3	6120
common_voice_sq_40875018.mp3	3204
common_voice_sq_37795641.mp3	3204
common_voice_sq_40892005.mp3	6588
common_voice_sq_37803642.mp3	5940
common_voice_sq_40875517.mp3	6408
common_voice_sq_40871050.mp3	4644
common_voice_sq_40069985.mp3	3348
common_voice_sq_40880848.mp3	5400
common_voice_sq_40891858.mp3	5220
common_voice_sq_40876186.mp3	3240
common_voice_sq_40880084.mp3	2988
common_voice_sq_40872465.mp3	4356
common_voice_sq_40948286.mp3	6444
common_voice_sq_40874565.mp3	6048
common_voice_sq_37570337.mp3	4536
common_voice_sq_39206882.mp3	3528
common_voice_sq_40978175.mp3	7128
common_voice_sq_40876648.mp3	2808
common_voice_sq_40892015.mp3	5616
common_voice_sq_40891958.mp3	6120
common_voice_sq_40871099.mp3	6588
common_voice_sq_40874281.mp3	4320
common_voice_sq_40874963.mp3	4608
common_voice_sq_40875515.mp3	3816
common_voice_sq_40866172.mp3	6336
common_voice_sq_40892037.mp3	3636
common_voice_sq_40876864.mp3	3672
common_voice_sq_37801169.mp3	3960
common_voice_sq_40880095.mp3	4248
common_voice_sq_37792711.mp3	3348
common_voice_sq_40959886.mp3	6840
common_voice_sq_40890813.mp3	3060
common_voice_sq_40874578.mp3	3708
common_voice_sq_40866298.mp3	5400
common_voice_sq_40907219.mp3	7416
common_voice_sq_40907295.mp3	5472
common_voice_sq_37775373.mp3	7164
common_voice_sq_40928271.mp3	6300
common_voice_sq_40881763.mp3	5256
common_voice_sq_37795648.mp3	5004
common_voice_sq_40867448.mp3	5184
common_voice_sq_40948242.mp3	3924
common_voice_sq_40876189.mp3	3456
common_voice_sq_40876957.mp3	5904
common_voice_sq_40873403.mp3	5796
common_voice_sq_40876802.mp3	3240
common_voice_sq_40929838.mp3	6732
common_voice_sq_37800792.mp3	3780
common_voice_sq_37795604.mp3	3636
common_voice_sq_40876176.mp3	4716
common_voice_sq_37800772.mp3	2916
common_voice_sq_40876903.mp3	4284
common_voice_sq_40932712.mp3	6156
common_voice_sq_40880076.mp3	2772
common_voice_sq_39206471.mp3	4140
common_voice_sq_37852528.mp3	34488
common_voice_sq_37780245.mp3	2340
common_voice_sq_40876670.mp3	5004
common_voice_sq_40936799.mp3	7740
common_voice_sq_40874927.mp3	5868
common_voice_sq_37692232.mp3	2988
common_voice_sq_40879874.mp3	6804
common_voice_sq_40864492.mp3	4932
common_voice_sq_40385258.mp3	3240
common_voice_sq_40881395.mp3	5004
common_voice_sq_40886373.mp3	5760
common_voice_sq_40994891.mp3	4248
common_voice_sq_40224558.mp3	6048
common_voice_sq_40870575.mp3	5040
common_voice_sq_37780211.mp3	3852
common_voice_sq_40964921.mp3	5616
common_voice_sq_40875765.mp3	5760
common_voice_sq_39206472.mp3	4428
common_voice_sq_41797085.mp3	3708
common_voice_sq_40879570.mp3	3528
common_voice_sq_40891843.mp3	3456
common_voice_sq_41854367.mp3	5652
common_voice_sq_40886463.mp3	3096
common_voice_sq_37803786.mp3	2628
common_voice_sq_40879910.mp3	3420
