sentence_id	sentence	locale	reason
006b82c09efdee89b6eb00ce076ae8a00e3a07dc9e1edd8f8978fe30009972f8	Տարիներէ ի վեր կը տառապի մեծ առողջապահական հարցերէ։	hy-AM	grammar-or-spelling
0010c57fd5c5a3d0377505081b6d00d1f48709e22b52516979d77ff3edd48ad8	Հանդէսը արձագանգած է ժամանակի գրեթէ ամբողջ գրական անցուդարձը։	hy-AM	grammar-or-spelling
0035bacf47a3659fec8b3aa194ba9017b2caf728d876ef37a4246bb1f4101e63	Վէպը ներառուած է հայկական ուսումնական ծրագիրին մէջ։	hy-AM	grammar-or-spelling
00ce5ee5bd73b8b2cc6ee93dec186ae443af3aba0340cba129a456384a03b18e	Իրբենե մուտքը հնարավոր էր միայն հատուկ թույտվութուն ունենալու դեպքում։	hy-AM	grammar-or-spelling
00c9ac3e9eb6ed39dcd25d32d239c96f62131f3fe61b438ffda1b944fd77e956	Ինտեգրվում է հասցեային գրքում և իրավազորվում է հեռախոսահամարների հիման վրա։	hy-AM	grammar-or-spelling
003e4a07f6a3615bf81296621ce4f8a47633609b214f4d797b5cb5f85bfc7f20	Այսպես հայտնվեցին առաջին շղթայական բենզալցակայանները, որոնք պատկանում էին անկախ ֆրանչայզերի։	hy-AM	grammar-or-spelling
003e4a07f6a3615bf81296621ce4f8a47633609b214f4d797b5cb5f85bfc7f20	Այսպես հայտնվեցին առաջին շղթայական բենզալցակայանները, որոնք պատկանում էին անկախ ֆրանչայզերի։	hy-AM	«????????? ????????????» ?????????? ???????? ??????????????? ??
000732ea69c1038b560a6f66b72b1e4835e0dda779069ec57073d1fa3f99f68b	Սակայն այս ծրագիրը եւս ծայրահեղ կերպով դատապարտուեցաւ թուրք համայնքի կողմէն։	hy-AM	different-language
00a91f3a72b88e1dc9dfc73faa0173b7cbf276e372324465fb4d3023a5d709dd	Թանգարանի զարդարանքներու մեծ մասն ընտրուած է մրցոյթներու միջոցով։	hy-AM	different-language
00651b3d64fb14051f4233288b358e01558b81fc1b06189658781f1c2a8f1634	Տիրապետող դիրքում էր դաշնակցությունը։	hy-AM	grammar-or-spelling
007458e9dfb726f1c98daf6e140a485eebb3067b6255b284b0004f1f9ea5e3a5	Նա ինքը նկարագրել է այդ հրավերը հավաքական «մեծ անակնկալ»։	hy-AM	grammar-or-spelling
00c0730affaf1d5a96b7d2d744c595d577208b10d22d1c322fdaa98ed1f7d005	Քաղաքում կան մեքենաշինական, քիմիական, էլեկտրոտեխնիկական և կահույքի գործարաններ։	hy-AM	grammar-or-spelling
00c0730affaf1d5a96b7d2d744c595d577208b10d22d1c322fdaa98ed1f7d005	Քաղաքում կան մեքենաշինական, քիմիական, էլեկտրոտեխնիկական և կահույքի գործարաններ։	hy-AM	?????????????????
003ac9c84d4e608dc18d097f06306be64dd289a694959f0735fb683285bdcb59	Ապա կը մասնակցի պատահական ներկայացումներու։	hy-AM	different-language
00166e2d75ed065927fcc1aba6e5629daa5d8fa8b3517ee6b0843b56049686bf	Գոյություն է ունեցել սուսերամարտի դասավանդման և վարպետի կոչման արժանանանլու մենաշնորհ։	hy-AM	grammar-or-spelling
00e50fcdf7d71fd057f83b83e8f651bb39230c7c34cce53157c145f716032bc7	Կին իրավաբանների ասոցիացիայի պատվավոր նախագահն է։	hy-AM	grammar-or-spelling
