clip	duration[ms]
common_voice_hy-AM_40050422.mp3	5616
common_voice_hy-AM_39535340.mp3	4176
common_voice_hy-AM_39641860.mp3	6156
common_voice_hy-AM_40050508.mp3	4320
common_voice_hy-AM_40086062.mp3	4428
common_voice_hy-AM_40000746.mp3	4140
common_voice_hy-AM_39991160.mp3	3996
common_voice_hy-AM_31133485.mp3	7380
common_voice_hy-AM_41813276.mp3	4176
common_voice_hy-AM_39436731.mp3	5076
common_voice_hy-AM_40033211.mp3	7020
common_voice_hy-AM_39986849.mp3	6336
common_voice_hy-AM_39998225.mp3	8532
common_voice_hy-AM_39462623.mp3	4608
common_voice_hy-AM_41812715.mp3	4032
common_voice_hy-AM_39543436.mp3	4968
common_voice_hy-AM_39986586.mp3	6264
common_voice_hy-AM_39325802.mp3	6228
common_voice_hy-AM_39641891.mp3	4608
common_voice_hy-AM_26407647.mp3	3816
common_voice_hy-AM_39986224.mp3	3888
common_voice_hy-AM_40033021.mp3	6084
common_voice_hy-AM_41814686.mp3	1872
common_voice_hy-AM_41681724.mp3	4068
common_voice_hy-AM_39347390.mp3	4968
common_voice_hy-AM_39476361.mp3	5580
common_voice_hy-AM_39620722.mp3	3456
common_voice_hy-AM_40058443.mp3	5400
common_voice_hy-AM_40070340.mp3	4896
common_voice_hy-AM_39475199.mp3	5976
common_voice_hy-AM_39325596.mp3	7128
common_voice_hy-AM_41752148.mp3	5832
common_voice_hy-AM_40037334.mp3	3168
common_voice_hy-AM_39515049.mp3	5076
common_voice_hy-AM_40385754.mp3	4896
common_voice_hy-AM_27469740.mp3	5436
common_voice_hy-AM_39776702.mp3	7020
common_voice_hy-AM_39991020.mp3	6120
common_voice_hy-AM_39995215.mp3	2556
common_voice_hy-AM_40086631.mp3	3816
common_voice_hy-AM_31106903.mp3	6156
common_voice_hy-AM_40937711.mp3	4968
common_voice_hy-AM_39522470.mp3	3528
common_voice_hy-AM_40051214.mp3	4320
common_voice_hy-AM_41814729.mp3	1836
common_voice_hy-AM_27081553.mp3	6372
common_voice_hy-AM_41733599.mp3	3528
common_voice_hy-AM_39543345.mp3	2880
common_voice_hy-AM_41814799.mp3	4356
common_voice_hy-AM_41761071.mp3	4608
common_voice_hy-AM_40039348.mp3	4680
common_voice_hy-AM_41687551.mp3	4860
common_voice_hy-AM_39543291.mp3	2628
common_voice_hy-AM_39472993.mp3	4968
common_voice_hy-AM_39425853.mp3	8316
common_voice_hy-AM_26423896.mp3	9288
common_voice_hy-AM_39508257.mp3	7848
common_voice_hy-AM_41851272.mp3	4968
common_voice_hy-AM_39606077.mp3	7200
common_voice_hy-AM_40968953.mp3	5940
common_voice_hy-AM_40009322.mp3	4644
common_voice_hy-AM_40064078.mp3	6876
common_voice_hy-AM_27153357.mp3	8928
common_voice_hy-AM_39463465.mp3	4248
common_voice_hy-AM_41809667.mp3	3888
common_voice_hy-AM_40038855.mp3	4608
common_voice_hy-AM_42960577.mp3	3240
common_voice_hy-AM_39488825.mp3	3960
common_voice_hy-AM_39989280.mp3	4176
common_voice_hy-AM_40074407.mp3	4572
common_voice_hy-AM_26059601.mp3	7812
common_voice_hy-AM_39641839.mp3	4140
common_voice_hy-AM_39273567.mp3	7020
common_voice_hy-AM_40077156.mp3	4860
common_voice_hy-AM_39509797.mp3	4788
common_voice_hy-AM_39290401.mp3	7020
common_voice_hy-AM_39428270.mp3	3420
common_voice_hy-AM_40051059.mp3	5508
common_voice_hy-AM_41814926.mp3	4572
common_voice_hy-AM_39990340.mp3	3960
common_voice_hy-AM_39427271.mp3	7128
common_voice_hy-AM_27555072.mp3	4428
common_voice_hy-AM_39990914.mp3	3420
common_voice_hy-AM_39495432.mp3	2916
common_voice_hy-AM_40009113.mp3	6804
common_voice_hy-AM_41733307.mp3	5328
common_voice_hy-AM_39986405.mp3	6300
common_voice_hy-AM_39991620.mp3	5760
common_voice_hy-AM_39648131.mp3	5760
common_voice_hy-AM_39998759.mp3	9360
common_voice_hy-AM_39475369.mp3	8388
common_voice_hy-AM_39607202.mp3	4788
common_voice_hy-AM_40004208.mp3	6192
common_voice_hy-AM_40061972.mp3	6948
common_voice_hy-AM_40053759.mp3	5616
common_voice_hy-AM_39362267.mp3	6408
common_voice_hy-AM_39810248.mp3	4824
common_voice_hy-AM_39776612.mp3	6624
common_voice_hy-AM_41814824.mp3	4536
common_voice_hy-AM_41816259.mp3	1728
common_voice_hy-AM_40066343.mp3	5760
common_voice_hy-AM_39461723.mp3	8028
common_voice_hy-AM_39998652.mp3	4716
common_voice_hy-AM_39273769.mp3	8316
common_voice_hy-AM_39987765.mp3	7524
common_voice_hy-AM_39543045.mp3	5508
common_voice_hy-AM_40085255.mp3	4500
common_voice_hy-AM_39596996.mp3	5688
common_voice_hy-AM_41752440.mp3	3420
common_voice_hy-AM_40050109.mp3	6480
common_voice_hy-AM_39508801.mp3	4680
common_voice_hy-AM_39277848.mp3	8028
common_voice_hy-AM_39995265.mp3	4968
common_voice_hy-AM_39283713.mp3	6084
common_voice_hy-AM_31110722.mp3	5400
common_voice_hy-AM_40070228.mp3	3888
common_voice_hy-AM_40050103.mp3	3708
common_voice_hy-AM_40030721.mp3	5904
common_voice_hy-AM_39462589.mp3	9108
common_voice_hy-AM_39990337.mp3	4896
common_voice_hy-AM_39990766.mp3	4608
common_voice_hy-AM_41851292.mp3	4320
common_voice_hy-AM_39995118.mp3	5220
common_voice_hy-AM_39478606.mp3	6480
common_voice_hy-AM_31108570.mp3	6048
common_voice_hy-AM_40070810.mp3	6084
common_voice_hy-AM_39778439.mp3	4860
common_voice_hy-AM_39508764.mp3	4608
common_voice_hy-AM_39537962.mp3	3600
common_voice_hy-AM_31109293.mp3	8280
common_voice_hy-AM_39999294.mp3	4392
common_voice_hy-AM_39988018.mp3	3888
common_voice_hy-AM_40006444.mp3	5796
common_voice_hy-AM_39642047.mp3	5256
common_voice_hy-AM_26466428.mp3	7524
common_voice_hy-AM_40006507.mp3	4068
common_voice_hy-AM_39325733.mp3	6516
common_voice_hy-AM_41814652.mp3	2052
common_voice_hy-AM_27081549.mp3	6552
common_voice_hy-AM_41816582.mp3	7560
common_voice_hy-AM_40050626.mp3	8208
common_voice_hy-AM_40058346.mp3	2160
common_voice_hy-AM_41810092.mp3	5076
common_voice_hy-AM_39773689.mp3	3420
common_voice_hy-AM_39307596.mp3	3780
common_voice_hy-AM_40930747.mp3	4680
common_voice_hy-AM_39998011.mp3	7416
common_voice_hy-AM_39607553.mp3	3600
common_voice_hy-AM_39548155.mp3	3456
common_voice_hy-AM_41814899.mp3	5976
common_voice_hy-AM_40085484.mp3	4320
common_voice_hy-AM_41753473.mp3	5832
common_voice_hy-AM_39275511.mp3	5868
common_voice_hy-AM_39774583.mp3	5076
common_voice_hy-AM_40004043.mp3	5076
common_voice_hy-AM_41752140.mp3	2880
common_voice_hy-AM_40070748.mp3	3348
common_voice_hy-AM_41815734.mp3	7380
common_voice_hy-AM_39986386.mp3	7956
common_voice_hy-AM_41864711.mp3	3708
common_voice_hy-AM_40053983.mp3	6012
common_voice_hy-AM_39465509.mp3	5616
common_voice_hy-AM_39607288.mp3	5616
common_voice_hy-AM_39488561.mp3	5040
common_voice_hy-AM_41816631.mp3	5148
common_voice_hy-AM_39926524.mp3	4788
common_voice_hy-AM_39543602.mp3	5148
common_voice_hy-AM_40060070.mp3	5148
common_voice_hy-AM_39497907.mp3	2736
common_voice_hy-AM_39987077.mp3	7200
common_voice_hy-AM_40003973.mp3	5544
common_voice_hy-AM_39278177.mp3	7488
common_voice_hy-AM_39832867.mp3	7092
common_voice_hy-AM_42960548.mp3	3996
common_voice_hy-AM_39451831.mp3	6948
common_voice_hy-AM_41816278.mp3	2268
common_voice_hy-AM_39991364.mp3	4500
common_voice_hy-AM_39622363.mp3	7668
common_voice_hy-AM_39777981.mp3	8064
common_voice_hy-AM_40000167.mp3	7848
common_voice_hy-AM_41715380.mp3	4176
common_voice_hy-AM_26520745.mp3	3852
common_voice_hy-AM_39506246.mp3	4428
common_voice_hy-AM_26499398.mp3	7740
common_voice_hy-AM_39521949.mp3	4644
common_voice_hy-AM_34979202.mp3	6516
common_voice_hy-AM_41814572.mp3	5040
common_voice_hy-AM_39464449.mp3	5256
common_voice_hy-AM_40006506.mp3	4104
common_voice_hy-AM_39986247.mp3	7380
common_voice_hy-AM_40068061.mp3	4968
common_voice_hy-AM_39534771.mp3	4680
common_voice_hy-AM_39452237.mp3	5040
common_voice_hy-AM_41809535.mp3	5796
common_voice_hy-AM_39552518.mp3	6012
common_voice_hy-AM_40067794.mp3	4428
common_voice_hy-AM_26339562.mp3	3708
common_voice_hy-AM_40086546.mp3	5508
common_voice_hy-AM_39993021.mp3	5652
common_voice_hy-AM_41815471.mp3	6408
common_voice_hy-AM_39494924.mp3	5328
common_voice_hy-AM_26820015.mp3	5292
