sentence_id	sentence	locale	reason
02a500e8c62b6b07fe93e5908378318d61bbceb66fe5a2838f6d2ac77f053b78	Urime pë dikë	sq	grammar-or-spelling
13ce1d5a9e2d5d3a97110812253d9d0a15249f1ec3095a9b54601bf57671c709	Ai e donte sporti, por njoftohet se nuk luajti kurrë futboll.	sq	grammar-or-spelling
0013e82f8a42cff4d2f771582c18e7d1714ef355337f20dd40cd3658cec5ee99	Republika Guinesë Ekuatoriale	sq	grammar-or-spelling
2191499c6088b55540b80de6aeaa8040006328402b3571ba247297075b3e227b	Gjermanët ishin kud.	sq	grammar-or-spelling
2034d052f39ed14460d150885390b45ade1fdfd75e2e0e2a82a92bb4fcd8d98c	Mlloja pajtohet.	sq	grammar-or-spelling
129a4a227f5d358a0a9212bb666b0a1819baf36d6da51b2733c693c07516d6b0	Ne e propozojmë Valon Ramadanin dhe Ali Lajcin.	sq	grammar-or-spelling
0da65660748078ac3725dc602d0064b1d087a5285dfa3025d9f3f9605b80bdaa	Në jug, shpimet janë caktuar të fillojnë në tetor.	sq	grammar-or-spelling
013c34b899fd0e912ad1ee08104ff35a3af750d9504bc20ee933e44b180a1c10	Projekti është në faza të ndryshme të ndërtimit.	sq	grammar-or-spelling
14434b20e133c6245895497135f970511e3e980de51bffadae991f86f93db35a	Kopliku	sq	grammar-or-spelling
25dac0579e016a9046c0844cfcb2fd2edab6976abf984909d317e5533ceada36	Ama të dyja kanë fituar, karshi të kundërtës.	sq	grammar-or-spelling
3ea184792d6284cc991fab3bb2d0b37eab046bfa4c8e4959c47cf409fc40b157	Do të ngarkohen zyrtarë për shtuar bashkëpunimin ndërqeveritar.	sq	grammar-or-spelling
20c0e7f9d425b50709cecf4b1dc5e0543f37764fe29781d4d5aaffa1bc21601e	Secili person gëzon të drejtën të qasjes në dokumente publike.	sq	grammar-or-spelling
00ceebb338607e625e7eaa086a587683eec41bb45f6828b0b9eb31f8efa58720	Barnatorja duhet të ketë gjatë gjithë orarit të punës farmacistifarmacistët e licencuar.	sq	grammar-or-spelling
05bdba221b7808331af65600ad64c5cac7d2ce76c2355171650b08d36475d7ed	Servisimi dhe mirëmbajtja e paisjeve radiologjike prodhuesi apelem	sq	grammar-or-spelling
0399dfbc8d6034797455ec1d294691d773fbd8b2638caeee701f5b37928d2c0e	Epërcaktuar ngadispozitat ligjoreqë zbatohen përnëpunësit civilënë vendine Huamarrësit, cilado qëështë më e.	sq	grammar-or-spelling
046cc4558db28cb31da0686910a458d6e6a3f0f141480f8149fae55609802f2a	Er vër on sitin.	sq	grammar-or-spelling
061d5a674c680473064ccc279b1354dca57eb559586ecaae6ee427a3c9460916	Pas goditjës kishte dalur edhe H, me pajser, ku e kishte goditur në krah.
	sq	offensive-language
02b915960a7cac220f71397afd8f13c3e886dd657084a65f3191797cf53c4316	Madeira and Setubal muscatel.
	sq	different-language
0f4beef2a5624714eab37150a434d90b1ad637b8e8234ec10cd3cf4d4d3e49e0	Komiteti i Përbashicët i Ekspertëve.	sq	grammar-or-spelling
02e9d89187052448399d17fe89ad01b039ece41b124e39d2b3c9fd8da07803d9	Orujo de Galicia Pacharan.	sq	different-language
12d48f15fb430048577bbc97e481fe572d7ac9eee926d0773b4914bac8107b9f	Export Credit Agreement Austria Alb, final.	sq	different-language
00ceebb338607e625e7eaa086a587683eec41bb45f6828b0b9eb31f8efa58720	Barnatorja duhet të ketë gjatë gjithë orarit të punës farmacistifarmacistët e licencuar.	sq	grammar-or-spelling
0c86bd01345a49ee43288f9e70d80e0efd3ee03f37e83a6f612ee3b3ebadf832	Furnizim me reagensa per laboratorlot ii,iii	sq	grammar-or-spelling
13499a13d7636be91c9cf830043e00d75ada17ddeab0bb39264c784743fa0f2d	Liquore di limone di Sorrento.	sq	different-language
09784da2e8811aedb8fb212ba1a4ade02fe14af395b7fb3f6eea7790ccbbde67	Qeveria e Kosovës I Kosova Vlada I Government of Kosova.	sq	different-language
01f798a609bac2044e3f7ac62d724728fcf12d576ac849a2f249dec3c950e894	Svsiss Cooperation Office in Kosovo.	sq	different-language
0d51e07ee78fe3fc8c8ed26d9bf04209edecbeeae0dfae4db283f55400ad9c68	Nebrego≈°te
	sq	grammar-or-spelling
0d51e07ee78fe3fc8c8ed26d9bf04209edecbeeae0dfae4db283f55400ad9c68	Nebrego≈°te
	sq	different-language
13b5629f7f973a4bb4953a1f5ce4c6af199016a51fbe9f55d9dea83e9fa8a020	Pas-infor mimi nga Huamarrësi.	sq	grammar-or-spelling
0f7e1230415945f649746101c82d303b6fc5f9368ee88645b6d860a9e67f450a	Marrja dhe mirëmbajtja e pajtueshmërisë ime të gjitha pëlqimet dhe lejet e kërkuara.	sq	grammar-or-spelling
13b7d6190ed99c6d794ba7ab17c6dc62fc3a2e8cca34881ef36758608e96cafb	Angazhimit të qeverive në procesin c djalogut Prishtinë-Beograd.	sq	grammar-or-spelling
0c58ebb50f3ebf93096c03b46b971bc6a36c9858f02707b94ed32624f376b29c	Pesha e përgjithshme e rimorkios së tërhequr nga: E.	sq	grammar-or-spelling
0f264a1c9f5891eb8d91c2204ac0c3181bf84b383953e2cd983ef82be194d57b	V dhe B kanë qenë në bine lartë ndërsa ai ishte afër tyre.
	sq	grammar-or-spelling
13aeb5c17616690cc391252636db0d127f554075f4832addd1e629900bc46e23	Evropian për stabilitetin dhe prosperitetin e Kosovës.	sq	grammar-or-spelling
1353311826c4bcf5039b7709792735baa06d9ba70da29a18ce0cda2de7ec86d9	Zëvendës Drejtoreli eti Përgjithshëm në Agjenci Ekzekutive - i paraparë në ligje të themelimit.	sq	grammar-or-spelling
1423f833160f9b35ddea6396ca3a73c4d41f6a8f9565bf39ffd9bcd23e62f014	Qen Qen Qen Anal.	sq	grammar-or-spelling
1423f833160f9b35ddea6396ca3a73c4d41f6a8f9565bf39ffd9bcd23e62f014	Qen Qen Qen Anal.	sq	offensive-language
0d499af7074b1368c2b574148b5b6187822c7bffed7b84a636e1f92dbe1eba3a	Furnizim me Gas insulated medium voltage switchgear	sq	different-language
13499a13d7636be91c9cf830043e00d75ada17ddeab0bb39264c784743fa0f2d	Liquore di limone di Sorrento.	sq	different-language
1134252ef8a45e21ebf54ef2defdcef567c1866e9cad11d60802732883f0b1a0	Letanci
	sq	different-language
13fb4011f3754139812db80fa20b9532469c9ee1954d2fef80670091111edb88	Dhe, në daçi ta pranoni, ai është Elia, që duhej të vijë.
	sq	grammar-or-spelling
0fbc4dbf7ccebc8038a2bfdc24476b72ce4be348138d201aac0c1e9fdc04b334	Kundër këtij aktgjykimi brenda afatit ligjor ka në paraqitur ankesë palët ndërgjyqëse.	sq	grammar-or-spelling
143764da22ec6ffb21710c938a9a4365b9528aef7d0c4f2f1965a9a9ce724fc4	Dajkoci
	sq	difficult-pronounce
122dbe127141cbab2cea1a02347684b7adc487864bdeefb1a6293d653f36c4ad	Pjesë të Huas, sipas një Norme të Ndryshueshme Interesi të.	sq	grammar-or-spelling
103be189630d9d3bd747d9533e8b64b18003d7bb567a2f809d59c675c2fcb210	Hartimi i projektit per rregullimin e ambientit ne komplektin e marashit ne prizren	sq	grammar-or-spelling
13a6350db6b0776e6706b9ebfaa0c504389748266818a4f97c2a11483065defc	Vërba
	sq	different-language
13a6350db6b0776e6706b9ebfaa0c504389748266818a4f97c2a11483065defc	Vërba
	sq	grammar-or-spelling
151eee8aaadcebf7a306a34c703228df686b63fcbee18dc0e53086c3b7800d9e	sigurimi i automjeteve tpl-tpl-kasko	sq	grammar-or-spelling
1180a6d3c00c7dc542cc36ccd72ea1b8c726852eb9f9fe0e5670897f71e3670a	Myçybaba
	sq	grammar-or-spelling
123355c713bbd33bb0c4122cb85ad3fc02ae92c4fe1c8a92849b897316bb6d5f	Sherbimet e Internetit për S.k.gj.k dhe Gjykatat dhe Prokurorit	sq	grammar-or-spelling
14edae810113927c52381ec918b1c6c377f5578ea34617c0c9b037bcc4697663	Ekzemplarë të nënshkri nënshkruar njoftime që do t'i.	sq	grammar-or-spelling
135aff3dd43f0c237f7e7250d4b75591ced2a25611f13a2a483be322ab531eaa	Asfaltimi i unazës në fsh. Preles të Jerlive	sq	grammar-or-spelling
13851f800ead2142141d3a3b617e28909ad6cb6b8bb4c4508d2a136df1fee65b	Sankoci
	sq	difficult-pronounce
09acbfffd80629879df9eb7986e2752522239111f5727271862595178dc05641	Aguardiente de sidra de Asturias.	sq	different-language
15bfff2f2bfc77fdf22f6096704840cb37926b13379e26e9b69a769168bfc88d	Shuma e caktuar sipas raportit të vlerësimit nga ekspertit financiar gjyqësor për vlerësim.
	sq	grammar-or-spelling
108ebaffada8b3c350a4eec7bf2868e0d13c95acc7bab3150fc1c195f9b6ffeb	Agjensioni angazhon numrin e nevojshëm të personelit tjetër.	sq	grammar-or-spelling
11c15497dffe9258df50ec2dfd4a6722974bfb80f983d71e5099ba27bc37c209	Furnizim me uniforme tdu per njs	sq	grammar-or-spelling
158109074f94ac4be3eb6970efc26065c0dcc59226f9e5f194c15738ab5e5b88	Autoriteti i ministrit nuk përfshinë menaxhimin operativ të agjencisë.	sq	grammar-or-spelling
0f0d8a6c26af3cf37f34786569d1d6cb015ef97ac96f771694ffb37bf7d99a0c	Vës e Republikës së Kosovës dhe htë të.	sq	grammar-or-spelling
15d23e7d298c4a54cdf248d2796442b84729ce82ed13a20bfa074f314b8c1de1	Transportit, mjetet teknike dhe mjetet tjera për shpëtimin e njerëzve dhe pasurisë së.	sq	grammar-or-spelling
15d235c2d8dd0ef1a78fe15f8a06413a475bbb6e9ec445e8adf6973ce0feec91	Eaudevie de vin originaire d'Aquitaine.	sq	different-language
00ceebb338607e625e7eaa086a587683eec41bb45f6828b0b9eb31f8efa58720	Barnatorja duhet të ketë gjatë gjithë orarit të punës farmacistifarmacistët e licencuar.	sq	grammar-or-spelling
0bf7a86be5b7404aab8b51052b80f531f72d0610ae21f23416238862d8c82af4	Pagesat e lira nga tatimi i mbajtur në burim dhe tarifat tjera.	sq	grammar-or-spelling
15abc10e31ca9555640a76c1e8abea4701d3879a21528dcef7110dfd60ffa48a	Furnizim me kompjutera dhe printer per nevojat e administrates se komunes se prizrenit	sq	grammar-or-spelling
150c2b58860b1d48e34c321ab9007ab7fae93f9cc2143ebe9bd52d404be4fd00	Shërbimet e Sigurimit FiduciarRi-tender	sq	grammar-or-spelling
