sentence_id	sentence	sentence_domain	source
00797b30f895984a4d251f8a9101e0a2d6e8f379de7dab86f8c6233c702e9bda	শৰীৰ আৰু মন ভালে ৰাখিবলৈ হ'লে দিনটোৰ ভিতৰত এঘন্টামান শৰীৰ চৰ্চা কৰা উচিত।		স্ৱ-উদ্ধৃতি 
00e7bce1e5f8803de3e98adcd87b5cf3008b3eb80f0e9767021a23f7f9ca16ca	অতীতৰ বোম্বাই এখন শান্তিপূৰ্ণ চহৰ হলেও বিগত দুই বছৰত চহৰত সন্ত্ৰাসৰ ঘটনা বৃদ্ধি পাইছে।		Sentences from various sources.
0350e39248958378c12c90d9df2bb81762fc0518ec5c100da7ebf7e0f2648d57	মানুহজনীযে তাক তুলিবলৈ যত্ন কৰিলে, কিন্তু নোৱাৰিলে।		Assamese Novels
03abc7901ae5863302a7cda14bf93afc3779c4c6ee9503b92e4e6b0bd4d3b414	সিহঁতে শিপাৰেও খায় পাতেৰেও খায়। শিপাৰে মাটিৰ পৰা ৰসটানি লয়।		https://as.m.wikisource.org/wiki/?????-????/??????
05fa2c44c21c251432462c15a1ed353e9ca22c59d5222157dc8f810fdab2707f	মোৰ ভোক লাগিছে, হেৰ কিবা আছে যদি চাচোন মই খাই যাওঁ।		Assamese stories
06ad7c5284e340031571089483a2082c4437d42901c685386967be6c1651c89b	সাক্ষী বাদী লৈ চাব-ডেপুটিয়ে কথাটো সচা বুলি প্ৰমাণ পালে।		Assamese Novels
08ff64c9b1b212cadbe42fbdd3fad9039170663b473018aa3b5617fcdbfc9f23	তেতিয়া উকিল জনে কলে “তেনেহলেনো তোমাক কি লাগে?”		https://as.m.wikisource.org/wiki/?????-????/????_???_???_????_????_??????_??????_????
0b136f15ba8ebf2b559b83b97b2959d31d5283d3b2025dcee499dc0396d76547	যতে এইটি হয়, ত'তে মিৰি জাতিৰ ডেকা-গাভৰুৱে স্বৰ্গীয় সুখ পায়।		Assamese Novels
0b84d361740ba977c57f528cefbe2b7ac6ff8a01e5563a2f3dad3d8001853a27	আসাম অথবা আসমৰ পৰা উত্পত্তি হোৱা।		Sentences from various sources.
104e8297f8e77800c18e30ab72c6a22c8ecc205013ff7cf46bdc9f4c6c6b4acc	টিন-এইজাৰ ছোৱালী বিলাকৰ কাৰণে অসহনীয় হৈ পৰে এনে দৃষ্টিবোৰ		Sentences from Short Assamese stories
1051ae8af6a08ebe9a27eaaafeb347d0013514c0a2bdf470c8ec776eb6ffdd67	"""ঠোঁট-মুখ চেলেকা""ৰ অৰ্থ হ'ল- ইচ্ছা কৰিও লাভ কৰিব‌‌‌ নোৱাৰা,বিফল হোৱা"		স্ৱ-উদ্ধিতি
10888b504f2d04221979a070c7248599392627bcd963b8280072557d8f68ccb6	দিন বাৰ ঠিক কৰি আমি দুয়াে বাৰ চহৰৰ ভাওনা চাবলৈ গলো		https://as.m.wikisource.org/wiki/%E0%A6%AA%E0%A7%83%E0%A6%B7%E0%A7%8D%E0%A6%A0%E0%A6%BE:%E0%A6%95%E0%A6%83_%E0%A6%AA%E0%A6%A8%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%83.djvu/%E0%A7%A7%E0%A7%A7
10f975a061933cc7b4f9f6a231cbf5bf651e50805d3bead414edc62b86f6923d	কেকেটুৱাই তামোল খায় নেওলক বান্ধি কিলাই।		ফকৰা যোজনা
1740917b2843067495f5ab6a5b7c1944ea1991ea394c02e166181a169c35c7f3	যিদৰে আমি কোনো পুৰুষে কি পিন্ধিছে সেয়া চাই নাথাকো		Sentences from Short Assamese stories
1832f443a53d454843d9b9aefcdb7a7c6dd28baafb3efcb6ca851c2e255fe48c	??????? ????????????? ??? ???????? ???? ????? ???? ????? ??? ???? ???????? ???		Alcohol and Narcotics Free Assam
193aa83c4693a140694a9bee92d9cb1227c23a11b92c99d0d5ad53eceee9b1d7	সমুহ-সমৰ 		স্ৱ-উদ্ধৃতি
195c78263cae89ec581b15ad87be3506a25f67e9b5977841e7f930a1e3af65ff	তাৰ সতে বহি কথা পাতো।		Assamese stories.
1a8d4a4fa9c9bd10c18d50d34b81bbf052ebb968fd275160ffafbc5c58ca6f0f	"আমি ""সহ্য"" শব্দটো ""সজ্য""ৰ দৰে উচ্চাৰণ কৰোঁ।"		স্ৱ-উদ্ধৃতি 
1a95baf7f520d5262f50c91c89ddceae192579ad89bf76aff67f7df40906d32c	সেই দেখি কানাডাৰ আইন মই গ্ৰাহ্য কৰিম, সেই আইন মই মুৰ পাতি ল'ম		Assamese books
1ba89d5a3114b83306e28356f2f015cad815f6c35ccf0d7a7344a81237f86c19	সেই দেখি তেওঁও সেই অৰণ্য বাস এৰি ছোৱালীটিৰ লগত থাকিলহি		Assamese books
1ea40038067c80c8c8b2dfc865de89197adb87eb289a068b5417409318075aa4	ডেকা বয়সত কাম-বন নকৰি এনেয়ে অনাই-বনাই ঘূৰি ফুৰিলে ভৱিষ্যত জীৱন সুখৰ নহয়।		স্ৱ-উদ্ধৃতি
1f49baecc246de8ba496ab404607d25a35459623ca541cd3245b05e09143e9bd	চুৰাটৰ চুক্তিৰ পাছত চেলচেট আৰু ভাচাইৰ উপৰত ব্ৰিটিছসকল আনুষ্ঠানিকভাবে অধিকাৰ অৰ্জন কৰে।		Sentences from various sources.
1f56196cc4be8ecdff3ab9011639118d487c853b2f377339cd39d2bbc53f6c8f	তাৰ শহাকণীয়া স্ৱভাৱৰ বাবেই সিহঁতৰ ঘৰত আজি চোৰ সোমাব নোৱাৰিলে।		স্ৱ-উদ্ধৃতি
1fed9cf6f64c6641fa80481e47dda50784c065a7cba3e5c3afb89a199a79ee37	মুখ দেখিলে ঘৃণিত জাতি বুলি জানি কিন্তু শোকেৰে ভৰা মুখ খনত কি সুন্দৰ জ্যোতি।		Assamese Novels
201b711e0f7897500d8a1b4e4cb5d5f867625745dc36b931d99730a143206fe6	সেই যে লিখনিটোৰ আৰম্ভণিতে ছোৱালী জনীৰ কথা লিখিছিলোঁ		Sentences from Short Assamese stories
20c8acc969281c60ad8f45dd545a2c3f8fb35f4fd94f313e28bf31a4fab4bfed	শেষৰ ফালে সমুদ্ৰোত্থিত ভূভাগ নাৰীমন পইন্ট আৰু কফ পেৰেডৰ বিকাশ ঘটোৱা হয়।		Sentences from various sources.
20ec2885d575c05159b1b617b7e54f7d56589e34917abbc5ecb5c5410a532e1f	তুমিচোন পালাহিয়েই!		স্ৱ-উদ্ধৃতি
21fe187de255e375dbc9e779aaa266170ad4c1542b6053c9a55ec3b221d2bab1	তাৰ একো চীন-চাপ নাই।		Sentences from various sources
2256295bf7bfda2e25dc9453c9f1fb7504afde037aa6b6703d462a466b1bcb9c	গাওঁ এখনত নঙলাৰ দৈনিক জীবনত তাৎপর্য্য জানিবলৈ পাই		Sentences from short Assamese stories
22f8ea1c2f57d86448bc1d99289e3dd5e89deb3027d8aa9ca00f277d15262c17	জুৰিতিৰ ওপৰত কাষৰ গছ এজোপাৰ ডাল এটা ওলমি জুৰিটীক আবৰি ধৰি আছে।		???? ??????
235fee5398b785d540dbb9d56fa6cd58a55df3078cfaff2076c320e9e3e868bc	কিন্তু কিছু দিনৰ পৰা অসমীয়াটো এনে ধৰণৰ লিখনি পঢ়িবলৈ পাই		Sentences from Short Assamese stories
23bf494cc3fe8612574b6f1fba15efa9b18e9b02c810f070420f487272c5cf93	একাধিক ঐতিহাসিক স্থান আৰু গুৰুত্বপূৰ্ণ হোটেল ভীষণভাবে ক্ষতিগ্ৰস্থ হয়।		Sentences from various sources.
23e8ae20c3aaeeea37be449dab3db45b3aa74042016234b7351aa51c1cfc985e	ভীমদেবে গুজৰাটৰ সৌৰাষ্ট্ৰৰ পৰা মাহিকাবতীত য'লৈ পাথাৰে প্ৰভু সম্প্ৰদায়ক এই অঞ্চললৈ লৈ আনে।		Sentences from various sources.
2678661d5249ff6d2d360779ea20b3081ddbd8c325549a8096c21a459f620b75	মোৰ মনত উদয় হোৱা এটা প্ৰশ্ন আপোনালৈ আগবঢ়ালো।    	general	নিজৰ 
26b01ebfca6060455eb5fcbb0ed48cda2cb1a9b660a7153fb8e12b19ec665a60	আমি দুই ভায়ে মৰি মজি কিষ্ণক যিমান পাৰো সিমান সম্ভেদ ল'লো।		???? ??????
26c09f71181118ec55b585cc4f815816f29d881f20ccddb3d5408102b3b69e7a	গঙ্গোত্রী, কেডাৰনাথ আৰু বদ্ৰীনাথ দৰ্শনৰ এক নিয়ম আছে বুলি মই তাত গৈ গম পালো।		Sentences from the Facebook group 'Oxomiyat Kotha Botora'
289ed64e1ad37e12ecae0e4ca4f0fa8589e234998d5c7e72d5ff7ca90c00f21d	এই মুকি ফুলৰ মুখখনি ধৰি ফুকনে চুমা এটি খাই মূৰটী শুঙিবলৈ ধৰিলে।		???? ??????
299b5919b5ef5e1d1ea2b1583972f40908fc918b7306135089c2c567965a637b	ইমান মাতোতেও তুমি দেখোন নাহিলা।		স্ৱ-উদ্ধৃতি
29b2ce888908b8914c7bf1b99e0f9884a3e7d9f31885a125a4085f3e2bd21b01	বাঘ,সিংহই গুজৰে।		স্ৱ-উদ্ধৃতি 
29c3c6640207d66aa6fa512c97ece0621e205cf6d2eea2f2d8d79494991d531f	তুমি ভূপেন হাজৰিকাৰ গান শুনিবলৈ ভাল পোৱা নে?	general	স্ৱ-উদ্ধৃতি 
2a61c33335469635f0c2ef52f59cc36e4965489ef5a44201012ef8690ffdcbcb	 বিশ্ৱ স্ৱাস্থ্য সংস্থাৰ সমীক্ষামতে।		নিজৰ 
2ac446e22caa797be70caef210e5afc571143087d9469e1f2bb4b2c3aef78371	আজি পাঁচ বছৰৰ মূৰত দুইও সৰ্ম্পূন ডেকা-গাভৰু হৈ উঠিছে।		Assamese Novels
2cffa0a1d83e115851c5cc70804988ac88a43bf8bf6a6c1c71d581e6d623326f	চীন দেশখন পৃথিবীৰ ভিতৰত শক্তিশালী যেন অনুমান হয়।		স্ৱ-উদ্ধৃতি 
2f6a891a9b2cd72da0cc8367d1b97e26d69ff4aaf55f3afb995fade717212092	আন্তৰ্জাতিক মহাকাশ কেন্দ্ৰটো পৃথিৱীৰ পৰা চাৰিশ কি:মি: উচ্চতাত আছে।		স্ৱ-উদ্ধৃতি 
2fdbd0bd281ece5f4cb1cc3fb3656caeb397a42a95cc8b2c69a52ca0866832b4	অসমত মীন পালনৰ প্ৰচুৰ সম্ভাবনা থকা সত্বেও অসমৰ মাছৰ উত্পাদন চাহিদা অনুসাৰে পৰ্যাপ্ত নহয়।		Assamese Wikipedia Articles
302527598114f9af3a3347b4dbb33e614608e649e67d0d4d29d4137c16b31e59	বাপুৱে স্বুলত যায়		Sentences from short Assamese stories
32039b349f8abb5791358b42b4078e36da8899de149967545e1ea9baf811f06a	 মাহাৰাজৰ আদেশ শিৰোধাৰ্য।		স্ৱ-উদ্ধৃতি
324e9c4e09bfe2754e59d5deba74fe5b4e128a119ae477d56445d9e0c7a144c4	দৈৰ্ঘ্যৰ চুটি জোখ হৈছে মিলি মিটাৰ।		স্ৱ-উদ্ধৃতি 
32c17560d77b9a1754e14e8239869b85d717f5b9708f2974a6f9d4676b927191	শগুন যদিও মাংসভোজী, তথাপি ই প্ৰাণী বধ নকৰে,মৃত প্ৰাণীহে খায়।		স্ৱ-উদ্ধৃতি স্ৱ-উদ্ধৃতি 
