client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
4c079a2aa672273aa62303470161f7495c5b34b3d81881d06daca93070d863540e94431cc982e2e424afe47b34cd555506998698a229cf1a5a5f74f22a219a61	common_voice_eu_39594183.mp3	ba7bc66cdf0cba5fc1f56114e028e847aca95f2c7da932da2c3f1bd717f44822	Bazkideen partaidetza handiagoa izan behar dela adierazi du jokalari ohiak.		0	2			Mendebalekoa (Araka, Bizkaia, Gipuzkoako mendebaleko herri batzuk)		eu	
c8df4c0f4c87909ac9461c186b8f74d5942c8d4855f33716b010ba0caabdc5e16064f7754fd78d62967e0b73cfc65e2379dda0c243d424478e08a51103ff1566	common_voice_eu_39595339.mp3	ba70ddd00b13a2f82f98b1ec18b41c1c2e364a6bf4f32ae44e2811ae365a642e	Turistak kamioneta zuri baten zihoazen pertsona armadunek bahitu dituzte.		2	2	fourties	female_feminine	Gipuzkera eragina duen euskara batua		eu	
16e4f12cba143d742f838ea74ac8cfe5d32591054a4b366424a9cc91ec01f427f83e9efdb72279313eb46e153e4cfe801b8a1aee2f7feff1ac828cc815239c17	common_voice_eu_39595788.mp3	ba336a81a1c60c9348851fb0b57317507033f85fff2554948b06e88bed808ea2	Emakumeak eta adin txikikoak al dira segurtasun faltaren kaltetu nagusienak?		0	2					eu	
89f202a15652fd37da0b006cc114a1e48fd7052aad2a66f2118eaf8ccf10f2de6513ca3f0d404e8c195dd72b7eafcafc7fbad1e06e4d4592a88a409346a90393	common_voice_eu_39596644.mp3	bab9b5684ca7adbd91e060a34e1b0aa4ed2ac3f49475cdcbd541aec0b0ab6fbd	Zerbitzari batek positibo eman du.		0	4	twenties	female_feminine	Mendebalekoa (Araka, Bizkaia, Gipuzkoako mendebaleko herri batzuk)		eu	
41bb5b8113025928c8e1c8a418a1a66e9d470defa8d5092755e1db4065ac1c7ffc06e396de4cc1533b9e55e2666b915f837977f7a87901d31ffaa1680699ecab	common_voice_eu_39599421.mp3	ba814ee3166580d1dd3bd41b3c5f91660c3ee80e23b10b5623cfd845dc979e33	Merkatarien familia batean jaioa, gazte-gaztetatik Bilboko giro kulturaletan murgildu zen.		0	2	teens	male_masculine	Erdialdekoa edo Nafarra (Gipuzkoa, Nafarroa)		eu	
41bb5b8113025928c8e1c8a418a1a66e9d470defa8d5092755e1db4065ac1c7ffc06e396de4cc1533b9e55e2666b915f837977f7a87901d31ffaa1680699ecab	common_voice_eu_39599424.mp3	ba9db07980aa7fe58e90cf4bd5f28ba036cbdb6add743cd54dce1caa82d16171	Kamioizaleok ere aste luzeak daramatzate asfaltotik urrundu barik.		0	2	teens	male_masculine	Erdialdekoa edo Nafarra (Gipuzkoa, Nafarroa)		eu	
f79f9ac72aa893e547a3a79084375745f8eb74f0f15975230372c9c0b53aadd2e1ff40302ca548e864227ad86a2aa528a3c402ceaf136fa312c90772c38e8b0c	common_voice_eu_39599491.mp3	c3a2927f8fef1badb392c4feb4de6e5107db776627574cef6d2733f7be7fa6c7	Eta isiltzen bagara, dena galtzen dugu.		0	2	twenties	male_masculine	Mendebalekoa (Araka, Bizkaia, Gipuzkoako mendebaleko herri batzuk)		eu	
f79f9ac72aa893e547a3a79084375745f8eb74f0f15975230372c9c0b53aadd2e1ff40302ca548e864227ad86a2aa528a3c402ceaf136fa312c90772c38e8b0c	common_voice_eu_39600840.mp3	b99c461a664bf55cacf56174e44cd9c617c71edafcdb3e1700ec48c3f2007ee7	Oraingoz, baina, informazioa oso eskasa da.		0	2	twenties	male_masculine	Mendebalekoa (Araka, Bizkaia, Gipuzkoako mendebaleko herri batzuk)		eu	
f79f9ac72aa893e547a3a79084375745f8eb74f0f15975230372c9c0b53aadd2e1ff40302ca548e864227ad86a2aa528a3c402ceaf136fa312c90772c38e8b0c	common_voice_eu_39600904.mp3	ba47d024f4641207dd2dc02d51ca24f8873c59721aed1b368316068f5717691c	Zenbat pertsona bildu ahalko dira?		2	2	twenties	male_masculine	Mendebalekoa (Araka, Bizkaia, Gipuzkoako mendebaleko herri batzuk)		eu	
507bed9e35dd2d8235df82e32e92ad378ef156ecd0a6023722e20814411a6e5ffe8c551e14b59e171302e920813292b4459829c7272502a94711e7c0f0dee4bb	common_voice_eu_39601108.mp3	bb1ee011f6d958ad62d14ca3dcec520c9048ede43ca6b2b8bfe34b5fe249297f	Matxinoek gertakariaren lekura heldu ziren geroago, eta koronela aurkitu zuten.		1	2	fifties	female_feminine	Mendebalekoa (Araka, Bizkaia, Gipuzkoako mendebaleko herri batzuk)		eu	
37028897db18d83f24d400e23c735658b6de65c4eb242e59d9279cbf15c1a4f953441ec349cbcbffb0be0a2f0b15462300605850d56147aefe895680bc258954	common_voice_eu_39601351.mp3	bb7902ec80e76f08c316de802f5fb83598eb5ec8413322ff6301aafdae898e9d	Hori dela eta, administrazio kontseiluaren bilera deitu zuen gaurko.		0	2	thirties	male_masculine	Mendebalekoa (Araka, Bizkaia, Gipuzkoako mendebaleko herri batzuk)		eu	
37028897db18d83f24d400e23c735658b6de65c4eb242e59d9279cbf15c1a4f953441ec349cbcbffb0be0a2f0b15462300605850d56147aefe895680bc258954	common_voice_eu_39601359.mp3	bb50add78b75d9050134ce93742055e8ca37a21d5ba83b09dae675b707f247a4	Antza denez, oso beldurtuta zegoen.		0	2	thirties	male_masculine	Mendebalekoa (Araka, Bizkaia, Gipuzkoako mendebaleko herri batzuk)		eu	
5a21b0152bfb962275904540bf2ebb88c0075be73433f60ec6365a7425604a9b8918ed924f498c778232ebb8768648ece5a743db96bf656b7f86068405b853e9	common_voice_eu_39602798.mp3	bb8d2ddf6e1798068d3037249332f6534fd053b331b2b163f1fa490341643b5b	Gaur egungo pentsiodunen bizi-kalitatea herritarren batez bestekoaren parekoa da.		2	4	fifties	female_feminine	Mendebalekoa (Araka, Bizkaia, Gipuzkoako mendebaleko herri batzuk)		eu	
