sentence_id	sentence	locale	reason
bb0ef565bd1cb5223b0caef4cf3ed5fbae4eac83cd2ceb40a77b2060f206b277	Ordutik hiru diskoa kaleratu dituzte.	eu	grammar-or-spelling
bb251cb72e86d7ee5ba495040db711c7710cb57e4378f0fe209e3a303e3e55e7	Liburuak, entziklopediak eta papera zauden barruan, eta kiskalita geratu da pabiloia.	eu	grammar-or-spelling
bb4a202b797c29745b1a053033721167b296e2fe8a6acd15377da9d4bda2272b	Atsedenaldiaren ostean bilbotarrek norgehiagoka hautsi dute eta bulgariarrak etsi egin dute.	eu	grammar-or-spelling
bb834dd83a6539da6a1cc497c34a6bb5868c521885788309830876a96f08249b	Guzti honek mexikarrak guztiz sumindu zituen.	eu	grammar-or-spelling
bcf4478fa67907053f7d7651f6c556238d2dfa5d7773ab1ab06994a20ef4b8bf	Gaur behin eta berriz abestu duzuen hemen klik eginda.	eu	grammar-or-spelling
b876182394eeaf69979e29d5769fc67115edf43a0c1d864200e06052d07fdb3e	Emakumea ondoezik zegoen, artrosisak jota eta espaloian eserita, anbulantzia zain.	eu	grammar-or-spelling
bc1542738827f211529c9338f442a8efe94cf1bd28ab7099cd0d8501ae18ec2a	Izan ere, hainbat inkestek jakietara eman duenez, berdinketa teknikoa da dagoeneko.	eu	grammar-or-spelling
b876182394eeaf69979e29d5769fc67115edf43a0c1d864200e06052d07fdb3e	Emakumea ondoezik zegoen, artrosisak jota eta espaloian eserita, anbulantzia zain.	eu	grammar-or-spelling
bbb451e22b8c17c1e553f9ded4706c4f0e5a7fea98e440dea927741d4e99d7cf	Gainera, ez du norgehiagoka berdintzeko aukerak aprobetxatu, akats gehiegi eginda.	eu	grammar-or-spelling
2d507712c5c5147371e61c83b8ee9c9a168bdcb978f0b503302dbdcec87de28c	Gerturik daukagu odola bere aldez emateko	eu	grammar-or-spelling
bc0f0a7322e036d17fa86004990c0c1e75ca51f413825ae8e07314f42ade8d64	Zazpi izarrak zeruan,
gurutze ta ilargiak
zazpi ate zabaleran
eta hor zagoz esperoan	eu	grammar-or-spelling
bd095132801e9377df389b004ab26288781391b9fb3bd5bdef0a9c3da0963d0e	Lehenengo hipotesien arabera, erradiadore baten egon liteke sutearen jatorrian.	eu	grammar-or-spelling
b9e45047e419fbfb296cc677474b1794d3cbe4d59632b38b26c1d7f7a965f5f1	Kantatzeko era zuzena eta erakargarria izango ekarriko digumusikari gipuzkoarrak.	eu	grammar-or-spelling
bcf13cb487139ce0a18e0b6c529b92c705a21916df1ad9e794b20a6a11d5fd02	Biologia eta geologiako irakasleak azterketa jarri dit nire urteetan	eu	grammar-or-spelling
bb0ef565bd1cb5223b0caef4cf3ed5fbae4eac83cd2ceb40a77b2060f206b277	Ordutik hiru diskoa kaleratu dituzte.	eu	grammar-or-spelling
bc9170c9c8b010ea529beff05147828339ce79af7d2ef1b79ba580e4112975a9	Amairako azken hamar minutuetarako dena erabakita geratu da.	eu	grammar-or-spelling
ba924ba13339e2504c0283914916bcfeaf69bdea517efb1a79b0d060bc4304d3	Turistek argazki kamararekin selfieak ateratzen dizute.
	eu	grammar-or-spelling
bd498fbfd40c623ffba870e4ffcebb24ddf98229b26a63c816e8e917282e6e9c	Kostazainak gaineratu dutenez, atzemandako ontzietan lau gorpu berreskuratu dituzte.	eu	grammar-or-spelling
bc5758498ffd94b4e667a41c87c2119cdf70c8fd0a466d74210e0efc075bbdd4	Ostalaritzan eta txikizkako merkataritzan eman dira kontratuen erregulazio gehienak.	eu	grammar-or-spelling
bcd31d8ade4029a2ba30f35d73b707af19bc56de598b14e7985a134f2f764455	Gaiaren xehetasun guztiak, blogean ere topatuko duzu informazio gehiago.	eu	grammar-or-spelling
bd35a15daf0acbf067dc3ddbfdbd0670f964a18070d3457d3b0656c8e08e454e	Bigarren zatia astuna izan zen ere, erritmo eskasekoa.	eu	grammar-or-spelling
bc76aa2c8e9c6f5fe619e539b9dbc44eaff88a8c2bafcdc9712f70a716d3f1f2	Azken urte hauetan ia ez du jokalaririk egin lehenengo talderako.	eu	grammar-or-spelling
bbaab2a4ea7145f8faf59bcf0dc3d5beed6d22905456f9f452c007060f248aff	Gorpua bainuointzian aurkitu dute, buruan kolpe bat zeukala.	eu	grammar-or-spelling
bcde11e101c0dcde47eafa8a5dc9ddf674413052398ab0d65a8bbabfd8076719	Gehiegi izatea kaletgarria izan litekeen arren, maila batean izatea ezinbestekoa da.	eu	grammar-or-spelling
bb1e61685bc5685025c96f149663170252994b3da85946052fc4de3af435fc8a	Aldekoen iritzian, herritarrak seguruago egongo dira hemendik aurrera, erasoren aurrean.	eu	grammar-or-spelling
bceae7a0aee10eb57d2a4ed01746b2d1c8a174f33ce0e2a0f046403afc3feaaa	Espainiak gara horretan Sizilia eta Napoli ere kontrolpean zituen.	eu	grammar-or-spelling
bc8099e795e7baf9bbae3c0a77de9ef33c68d65f3acbdd7580747184bb721656	Luis bere anaiarekin batera jokatu zuen.	eu	grammar-or-spelling
bc447d71bdea2f5bb66f9baa13b31fe8624aeeb6000ea7d407877cfbb474086f	Nekazariei egindako omenaldia dira haren lanak.	eu	grammar-or-spelling
bd596bc898c3d81056f5a8813495fb747018601e2aa09c7550566d648f902599	Aipuak erabiltzea hainbat funtzio betetzen ditu.	eu	grammar-or-spelling
bcde11e101c0dcde47eafa8a5dc9ddf674413052398ab0d65a8bbabfd8076719	Gehiegi izatea kaletgarria izan litekeen arren, maila batean izatea ezinbestekoa da.	eu	grammar-or-spelling
bc1542738827f211529c9338f442a8efe94cf1bd28ab7099cd0d8501ae18ec2a	Izan ere, hainbat inkestek jakietara eman duenez, berdinketa teknikoa da dagoeneko.	eu	grammar-or-spelling
bd7f0c778fbc20e024b3bc17fb5f973760f76aacf08afcf2ec4b86b7460d3015	Gaur banadu gaituzten arrazoiek, agian, etorkizunean elkartuko gaituzte.	eu	grammar-or-spelling
bd6582f996cd40ba622eac74e78b2bbd55254db9c3bf2e5946ae5cec4cc6828b	Lehengo taldeak antxumeak lortzen dituenean hurrengo taldeari emango dizkio.	eu	grammar-or-spelling
bd2a753719e6ce01852a000bb770b7fb5d98c223f02e28883b8ed7a33702f2dc	Hain zen ederra ezen Zeus berak maitemindu zen.	eu	grammar-or-spelling
bb0ef565bd1cb5223b0caef4cf3ed5fbae4eac83cd2ceb40a77b2060f206b277	Ordutik hiru diskoa kaleratu dituzte.	eu	grammar-or-spelling
bda4a9bd935c73febb0e56d198cbd91ad6120cce67436b1d197514d04cf16137	Arratiarrak orain paly-off postuetaik hiru puntura daude.	eu	grammar-or-spelling
bcc507b28d4cb1578fbe2680acd728981476fb168ff2cb14a5d02786b9734e82	Atxiloketa bat en egin zen goizaldeko zazpiak inguruan.	eu	grammar-or-spelling
bcced086dbf4bd2898b5340922a911a46d245e12dce29ab13f7b4484c53efc35	Ez fidatu inorekin haseratikan, eman denbora.	eu	grammar-or-spelling
be093531cf4f1c05a3733d4bbc9abcb286aef55c6541cba59bba940ebaad03c9	Eskuineko erreia itxi behar izan dute, ibilgailua bidetik kentzeko.	eu	grammar-or-spelling
bcde11e101c0dcde47eafa8a5dc9ddf674413052398ab0d65a8bbabfd8076719	Gehiegi izatea kaletgarria izan litekeen arren, maila batean izatea ezinbestekoa da.	eu	grammar-or-spelling
bd7f0c778fbc20e024b3bc17fb5f973760f76aacf08afcf2ec4b86b7460d3015	Gaur banadu gaituzten arrazoiek, agian, etorkizunean elkartuko gaituzte.	eu	grammar-or-spelling
bcc507b28d4cb1578fbe2680acd728981476fb168ff2cb14a5d02786b9734e82	Atxiloketa bat en egin zen goizaldeko zazpiak inguruan.	eu	grammar-or-spelling
beeb944709d758bc0070e5985af6c66917c493ada8cb5d0ddc59be1079d595e3	Larunbateak hodei ugari izango dira, eta arratsalde-gau partean ekaitzak izan litezke.	eu	grammar-or-spelling
bbaab2a4ea7145f8faf59bcf0dc3d5beed6d22905456f9f452c007060f248aff	Gorpua bainuointzian aurkitu dute, buruan kolpe bat zeukala.	eu	grammar-or-spelling
bf1f5b28757db96889717608496a8611a5f936da225663744249017dcedd7cca	Brasildarra hurrengo eguntean izango da aurkeztua.	eu	grammar-or-spelling
bd7f0c778fbc20e024b3bc17fb5f973760f76aacf08afcf2ec4b86b7460d3015	Gaur banadu gaituzten arrazoiek, agian, etorkizunean elkartuko gaituzte.	eu	grammar-or-spelling
be0ce8b602c4455d9842442d7a363fedf84de89ca23a7e2c9b4e9528ad0482f6	Berezko hizkera mendebaleko euskararen aldaera bat da.	eu	grammar-or-spelling
bdffa2709d440bfc69553e0192a50c201cb347c3520f23bd946331d55d33b75d	Bestalde, aholkulari zenbaiten laguntza du, besteak beste Jon Abril kazetaria.	eu	grammar-or-spelling
bef62df33f0eca0fbd89524fe90ab06fb2d29e0056f796e90dee3c0bb75ecb06	Lanaren estreinaldia justikatzea nahikoa dute diru-laguntzak kobratzeko, zuzendariak azaldu duenez.	eu	grammar-or-spelling
be9f02863e07adf52bff431c91e54a1d54d483549ea610472fd7f480a311c14e	Ziur nago egoerak eskatzen duen mailaz jokatuko garela.	eu	grammar-or-spelling
bdf9adafe9037a75a9b9c81384e113a520dbeec66f15165baa06101b7afc2bcf	Lehena da umea dekretua argitaratu ostean jaio izatea.	eu	grammar-or-spelling
0ff880695cd0c0133ac3486731ad8c0c107a0eb8e278660a1474a2323cdd4331	Egunean ordu bat irakurri ezkero, urte amaieran luze izango duzu irakurria	eu	grammar-or-spelling
bec68e487c7fe5d1b591f3ada1a5b3c4b5d7f30219aeea869a2b1c8026ec4b0f	Egilea bere iritzia ezkutatuko balu, kronika objektiboa dela esango genuke.	eu	grammar-or-spelling
bef1f2d44cc1716432b0e7b4ac71a7c63c2d5b0acf9c773d6530a7ca35c4b72a	Ile motza izan ezkero, ilean txirikorda fin ugari egin ditzazkezu.	eu	grammar-or-spelling
