sentence_id	sentence	sentence_domain	source
0029a5dd801da649ab041a1c25b607f54ecf814c4e53abbce9aa5b08cb0525bc	Vrywaring Die Engelse weergawe van die Jaarlikse Prestasieplan word as die amptelike teks beskou.		*.gov.za
00343d67c538f3f052aebfe522de9fa85bea68635d88ee2d4767b66399bdf9a2	Verwyder die kommentaartekens van die stellings tydens die voltooiing die die program.		*.gov.za
003856ce1c3f6e6fafcc3e2f1e02e2c3a6282bd13fe6f4bb2a6f87575aa1f76d	Sodoende kon meer terugvoering aan die gemeenskappe gegee word as wat die geval was.		*.gov.za
003d72438354e45930115c051aaed873dc6b960096eb6c15eb940abdfe6828f5	Om te sorg dat Vrystaat Provinsiale Regering effektief ingevolge die Kabinet Stelsel funksioneer.		*.gov.za
00492d6ac5dff8ba5de2d885faadcead8430952491cabb129be001936e517c3d	Dit lys ontwerpopdrag gedetailleerde spesifikasies en definieer die behoefte of geleentheid.		*.gov.za
004b27551059508d7b3084b2d27351e729d34e49d72ef85235969491dd9f0c63	Wes-Kaapse Regering, met duidelik geteikende uitkomste wat oor die mediumtermyn uiteengesit word.		*.gov.za
00975f21e86a0a20dd841d6b5c455be2ec9c1bedfdd97ffee9f70d2a1cbecc83	Die oorbelasting skakelaar word geaktiveer deur die oorbelasting stroom om die motor te beskerm.		*.gov.za
00a30b4d27a7eb2b31ef2383985c231d701d3ebdbfe61984ba071d3bae3359f6	Voorwaardes Die gebied moet voldoen aan die kriteria vir die identifisering van prioriteitsgebiede.		*.gov.za
00faaba31889f6fa3a965ab6291dca873ce252cbebac4c7ac7c82a169d2c2378	Tog is dit juis hierdie vakke wat ekonomiese groei, bemagtiging en ontwikkeling aandryf.		*.gov.za
010057728dbc600226be4865ebecb7fe55b96eb50c467ca099e9e4fa7fab29d0	Dit is egter belangrik dat dit ondersteun word deur duidelike riglyne vir optrede.		*.gov.za
01032b5f1106a070f99c1c8aa9f205590f1f1484ede5a3d9155c3aa402ecbe55	Ontploffings kan liggaamlike skade veroorsaak omdat hulle endotermiese reaksies is.		*.gov.za
010caace701b4fdab81b24e73826a420d53f93ce30db07d6b07fe43a28c7844c	Spesifieke committee kan gevestig word om klagtes te beoordeel op verskillende sektore.		*.gov.za
011224dfc719e8d94cd688989a3242225d91df4b7555cb557d71238e028d5d4b	Volg die instruksies hieronder en skryf jou rigting- en padaanduidings in volsinne.		*.gov.za
0118a394d79d4ff46efa05f3077e537e0a5f6b9f73a9ab42738c675cdf788d3f	Die nuwe Gesamentlike Ooreenkoms met die universiteite en technikons is afgehandel.		*.gov.za
011b171e43e734bb876e908ec293d69944582e553687e4f211ce49f1f28228f5	Die appellant se reaksie was 'n ontkenning dat hy weet waarvan die klaagster praat.		*.gov.za
011b202e79a7f69a27c94cb47f982d5ab5404275b6b58c759b0086bec711834f	Die eindresultaat moet 'n webagtige struktuur van woorde en idees of selfs beelde wees.		*.gov.za
011e95bf6e1f64e9d30a2a6d264bff82da08b35b03ceeaedf9b5d62f81642f2a	Dit is 'n noodsaaklikheid vir enige samelewing wat gegrond is op respek vir menseregte.		*.gov.za
013660025a02971e664f0e3e65c09e8d828c72cbca73fab24396e2c70a43f751	Randapparatuur soos drukkers hoef nie direk aan plaaslike masjien gekoppel te wes nie.		*.gov.za
0136ef894a2f895adbdcd0e1459c52e19be6962219606c497056a2d889cef2f4	Is die verklaring gelees en geteken deur die relevante verantwoordelike offisiere?		*.gov.za
01384b2097fc57dbb5f241327b786435faea885f72ef433f436a471fc1c16381	Die roman gaan maar hoofsaaklik oor Iris se soektog na die volmaakte blomgeleentheid.		*.gov.za
013cde0ce2fc51d1094fca3a5cf3fffd0109e7f356d74e5b13e07a7799877e34	Doel van subprogram Verskaf alternatiewe sorg en ondersteuning vir kwesbare kinders.		*.gov.za
01467e12340d8cda013565707b598829ebee9406773bf0dc577f67f709602176	Ek het hul antwoorde deur middel van telstrepies op 'n stuk papier aangedui.		*.gov.za
014d08a7895bfe2e4caad171f9926fa3949384857af75ee272728305c5ae4505	Ondersoek die verwantskap tussen las, mag en hul afstande vanaf die spilpunt.		*.gov.za
014e7da5984516d2d5c678c09bac6f28ebf1a30b5a4e7c1d172b12c7b6b89a63	Kennis van illustrasiemateriaal toe te pas in die keuse van hulpmiddele vir 'n aanbieding.		*.gov.za
014fa80ba25b5cac5085ab11f73588f50dc38d297446b93a1c462e20f906d898	Om eksponente en wortelvorms te verstaan, moet jy die getallestelsel deeglik hersien.		*.gov.za
0157e2ab49cc093fc1e9866b9ba0c7ecbe5ffd8b2caf5e7d8525a42e40ed6d1a	Gevolglik was die unieke kenmerk waarop Bartholomew gesteun het daarmee heen.		*.gov.za
015becadaaa7b1e175c84e5475e7559b1eadcf7b534fd7520accbd79dd3ba52f	Die jaarlikse prestasieplan is via die rekenpligtige gesag van die oorweging voorgelê.		*.gov.za
015e28d2497ecd80f6bab058298b90f689d8cf3ac4d249974d0078c5ee059cc1	Aangesien hierdie 'n ondersoek is, is daar geen korrekte of verkeerde antwoorde nie.		*.gov.za
0161a4bd40a084382ff13b2fbe7ebb254cdc0a161714f8a4eebfded33bc1c933	Inligtingsbeampte ingevolge die Wet op Bevordering van Toegang tot Inligting.		*.gov.za
016846683650c5be0317ef028b06d0aacf22110d3e06f628a700b9feee8a03cc	Wanneer ons spesifikasies en beperkinge neerskryf moet ons sekere vrae beantwoord.		*.gov.za
01694be91dde7504ea51d7d4521e6db991ead596e303cdff4f116da94249d4cb	Skryf die gebalanseerde chemiese vergelyking vir die vorming van die bruin gas neer.		*.gov.za
016a6bafb98ff3effdffe1e87f2153e1b4bd9ea111dc148f5a35771586eb3a46	Jy word voorsien van die laaste twee maande se Bankversoeningstate van Umlazi Handelaars.		*.gov.za
016ba51ab388c6c955142baffed508ec4f487f457a70c7dd07df0eb000ce4117	Verseker dat munisipaliteite dit onderteken en aan die Departement terugstuur.		*.gov.za
0175ac853401624fecdc97ee3d1b0610f8605918a648d56494a843b4e757b625	Volume is die hoeveelheid spasie wat werklik opgeneem word deur iets soos 'n vloeistof.		*.gov.za
0175b4d365b93405e7c5629bba3f6b88cc799eeef4d19bb8467eea732facc381	Kragvektore P en Q is volgens skaal geteken op die Cartesiese vlak hieronder getoon.		*.gov.za
01797253bfc6004c77b47855ae93052c3f8ba6549d1aabc6f488537c41387ac2	Minister en die Kommissaris kan verseker dat die Paroolrade nie hul magte misbruik nie.		*.gov.za
01799287444202c12503cb990430455e6abcc3233729b296e53a97e5b0bff4f1	Die Demokratiese Alliansie is die amptelike opposisieparty in die nasionale regering.		*.gov.za
017cfc900cf1604417221d410b40b1cb02780cf191356c9de81a77c9b7db8a91	Haal twee agtereenvolgende woorde uit die gedig aan wat direk by die titel aansluit.		*.gov.za
017d82b5770a772d9f0a37464689eafb10ef09c9e52a308c7aec0a78d1ebe292	Die reikwydte van die voorgestelde oplossing is duidelik en goed gedefinieerd.		*.gov.za
017e62ca23fd721b1c00d58683ff5b7d81e26256162a5dbb5b03a9b2b0a7d34a	Ooreenkomste moet met gemeenskappe gesluit word en grond moet paslik gesoneer word.		*.gov.za
01839bcebf29e6c9cced17f50a2935df484de88dea0373db19f414ea396bf03d	Hulle verbetering van posisie vyf tot vier op die wêreldranglys is prysenswaardig.		*.gov.za
018453b5e0056fcd83344d745d720a5a8286dbea9947a7c740db1c76ee958294	Om 'n effektiewe landbou-ekonomie ondersteuningsdiens te voorsien aan interne en eksterne kliënte.		*.gov.za
01889da2ce570496c4403c16f82df24e0127d10883ec14cd5e76df2a071b5d37	Die geestesdienstegids kan geraadpleeg word oor ander sentrums wat hulp bied.		*.gov.za
018dee3a7151a2e62b4de821ccc0bffaa961cbfd0ee7b155fcea7546b4db098f	Die tabel hieronder toon die skedelkapasiteit van verskillende spesies primate.		*.gov.za
018f78b5abdd13f6dc1b14ea2eac403612743c63233ca95fdaee6547b96aed5c	Die leerder is binne die konteks van die monoloog in sekere momente geloofwaardig.		*.gov.za
018fbc1639c7bd2e6c8779e3ce0554fc780904a474bfc33aa72c8555bbd319f2	Jou onderwyser sal die teken gee wanneer jy 'n ander beweging moet begin uitvoer.		*.gov.za
0192012f0ba1b8607c47a7ca9e80a7de9448b157011846cd34479d4ab06b9f70	Noem 'n Wet wat betrekking het op die gesondheid en veiligheid van plaaswerkers.		*.gov.za
0192c3892735163d2bfa4ab331e6ad199db5bfbf2a6ce74815b0e106f1c0377e	Oorweeg elke aansoek om begenadiging en maak aanbevelings aan die President.		*.gov.za
0193703a9ddcd0b75e7fa60b92e74b691d1ad30cd40ccc129537c0d10a8b56bc	Beskryf die waarskynlike weerstoestande wat met die wolktipe by front A geassosieer word.		*.gov.za
01a58483ee078151a19381d26e084e94ef5b48bca3387073974e41c0b27b763e	Lisa Hendricks het by die vloot aangesluit toe sy haar skoolopleiding voltooi het.		*.gov.za
01a6d3b13814d704f998fd08a1441aa1d5b840c18a9459557419ba13893a9fbc	Dit is waarom ons geboue toeganklik is vir mense wat met gestremdhede saamleef.		*.gov.za
01aa94e7e3cebf7b3240cdde8e1064bb8e2f43d0590212b06f66510a354bd36b	Voltooi hierdie aktiwiteit in jou notaboek en wys dit vir jou onderwyser vir assessering.		*.gov.za
01add6d686a59818ba91946dc89c182ea8af71bbeecdbab419cd727aafd08861	Die toestemmingsakte moet dan by die dagvaarding vir 'n egskeiding aangeheg word.		*.gov.za
01b35e35a06024036ade6a9d39f1213d87f56c20238db15013ec439c34cb2248	Versekerings Maatskappye omdat hul eise moet uitbetaal en daarom premies moet verhoog.		*.gov.za
01bd1be60d6d0b83e205167c9e462ffda0c1c11cfd4c07693a3178f6465f7a71	Die regering het nog nie die program vir gratis vullisverwydering geïmplementeer nie.		*.gov.za
01bf1dadf01c674a08402a8241919d5fe401fcc0eeaab7ad63061e520233b2c9	Taal Engels, Afrikaans en isiXhosa is die drie amptelike tale van die Provinsie.		*.gov.za
01bf57f989e9f6cda28607f61e1349c469bd956bf29a1f3ddb344177dbe56bfa	Die fokus in hierdie kwartaal is om uitsetwaardes vir gegewe vergelykings te vind.		*.gov.za
01c9119556bc9f136a351254f082601acbe9dc25af976d1a15dd7aaf0cbcd9c6	Nakoming van die terme en voorwaardes van die provinsiale en munisipale prestasie ooreenkomste.		*.gov.za
01c95a127ea825205a540deae5693208b788a07b33e58373f861a44283250811	Jy kan beboet word as jy nie die gesondheids- en veiligheidswette nakom nie.		*.gov.za
01cb74dcc524ad005f73cf354ccb2d7730bfb627a466c31f322ff7242faaa662	Heg ook 'n gedetailleerde begroting vir die projek waarvoor u aansoek doen, aan.		*.gov.za
01cb9187310349443c936c95b466e7ededc2edb29e949c22160a0883600d8470	Die bestuur het die gehalte van die uitset van prosedurele ondersteuning verseker.		*.gov.za
01cd2e5677fc1c5f43d4774207ab9a556ca8f7d827a048357aaa5ed5eae38a96	Suid-Afrika se demokratiese regering het 'n verdeelde en ongelyke onderwysstelsel geërf.		*.gov.za
01d1f247480aeaf77f1813b845a7412ccbbdd71609c9fc7338e4e686234a9b1a	Hulle het dit mis as hulle glo dat die Konstabel hulle regtig gaan beveilig.		*.gov.za
01d2bc77a14ad59764a6f4ea7949b5130783e17809d8bbd8424c04fadd9168fc	Verduidelik hoe die masker anders in tradisionele Afrikagemeenskappe beskou is.		*.gov.za
01d786ab01ee9b3f114773eaea5628b4dee4e227bbf23a204e2fffef86f4d968	Visie Om die maatstaf te word waarteen ander finansies-departemente hulself meet.		*.gov.za
01da748ca0c02d460b0568c1376bf450b281e46d0b2769181349cdf60c61d9db	Duidelike herhaling van kwashale en helder kleure skep ritme in die skildery.		*.gov.za
01e14ec6c2388d96725b431fca8c30c02567ef32ca47cbe892325c0f4360fe91	In watter opsig kan daar na vorms van Hindoeïsme as politeïsties verwys word?		*.gov.za
01e26b22d284dcb663b600d2122a0527938b4150e568e53c8b43e28a43c912c3	Trek 'n lyn vanwaar die lyne mekaar in die rigting van die verdwynpunt ontmoet.		*.gov.za
01e4902cee1f58fb09954f7f356bdff58c95827fce140731540c5a790f5e2982	Klubs in landelike gebiede word deur middel van die klubontwikkelingsprogram ondersteun.		*.gov.za
