sentence_id	sentence	sentence_domain	source
00381fa92a397b1c3af0debe18b3fa57ec68b096c1c7502722bb4e6551000a69	Merkataritza Kodeak dioenez, errigorrez eraman beharreko kontabilitate-liburuetako bat da.		Norberaren aipua
005f02b20fc6fafe6db6cf85e6ccb84eed0820f12b1ca0c863d4b2c6fa8a84c1	Lanak bidaltzeko epea martxoaren hogetia zazpira arte duzue	general	Norberaren aipua
0067ac4b7704e4b85f2a1eab762829c8443e51bea1929600985fd7f612e492e5	Mendiaren puntuan isolaturik bizi nahi zuen.		Norberaren aipua
008a90ab56521d5cb82fb2a96f8195333a35bc629644b99e1228c9e1c629c5bf	Igluaren forma borobilarekin, elurrak zahartzean eragiten duen presioak egitura desegitea ekiditen du.		Norberaren aipua
0090c01b25987999482ae2d539296ec91d4ae22a8c723e819e703569776a03f5	Argazkiak ateratzea gustoko du, nahiz eta ez izan ikastarik.		Neu
00d3da47d535c9d71b3503746cd56fa90923ceee990850ac41553f26696c3665	Ogia oso gosoa dago	food_service_retail	norberaren aipua
00ee5f88cc46eb4254b64fddce5ac3c52775058296976b021655e17558549c55	"Ahaztu merkantzia hauskorrak.
"	general	Norberaren aipua
01610fe02ffbab20a1be7c840d76be83447b679c6500a85c60bcfe701160a14a	Txoritegian dago.	general	Norberaren aipua
01ae63468b7de43aec90c0e09e1872dd870addc7ebe9c942ecfe611ab4df0327	Lege zaharraren arabera, desleiala den langileak, nagusiarengandik jaso zuen ordain guztia galdu behar baitu.		Norberaren aipua
01c46f38750142d2f36c3e67531cb3666b139c419ae59ddf93251bdb524b7358	"Ez zaitezte berandutu. 
"	general	Norberaren aipua
01ce63c82abefa4dce9ef34740cd6d698a6aa812afacce2784cbf1c3bfd13a4c	Hitz erdi esaten badu bizirik jan egingo dut.		norberaren aipua
01df252e4674db246566be60a21bf1a21aa5fbc4acdd468c1ec1c0be0973bb09	"Neure buruarekin solas egiten dut.
"	general	Norberaren aipua
01eb875e863319e4bcfb33e5c864db02426c216324dc501797e9a3962d0a79e3	Hildakoak lurperatzean ez duten harririk uzten, pertsonaren izaera betikoa ez zela ziur jakitelako.		norberaren aipua
023184cb43a23b4d766208beb2fc6ec7fa57f74afea6aff597c32f1a7852ba15	"Zehatz mehatz Rockanrolla da musika hori.
"	general	Norberaren aipua
