sentence_id	sentence	sentence_domain	source
05c81012af6a84f5daf7fd18a18eb5fbd07ee94bac84a4a6b0d5b3958bb9cad0	Shqipëri i thonë gjithë ati vëndi, tek rrinë Shqipëtarëtë.	history_law_government	Sami Frashëri – Shqipëria ç’ka qënë, ç’është e ç’do të bëhetë
069d4f9943e59f6dfe762057fe325a4822c03842a2e2c0bfbbc08894fc771d91	ishin t’egërë e roninë nëpër pyeje e nëpër shpella	history_law_government	Sami Frashëri – Shqipëria ç’ka qënë, ç’është e ç’do të bëhetë
06dcde017d72dbf1227496f23d7cba16a012ef42a91f95c6f19dfb1ec1d0383e	Kanalizimi në qytetin e Pejës Ri-tendr	general	krpp
08b572de0b09e3c89c4346fca3ece47baf0b77c0c5de95ea17c4c4558c4e3de9	Punimi i bustit abedin bujupishfmuarllat	general	krpp
0e82fe6b2b6cadddc40e5b813dbc19d7498b1191eb675651c9ff1005c84f9bf2	si edhe diturin’ e të lëruarit, të mbjellit e të korrurit	history_law_government	Sami Frashëri – Shqipëria ç’ka qënë, ç’është e ç’do të bëhetë
10f3a4d08bd450ec1a64b31189838bd58285ddb07abf36d18ec86ac6f8783fe5	√áitlluku 	general	 
133e4bfb66b241d72dbb587790b0d29076777875e8000a7e800b8302051ba290	edhe këta prunë në këtë vënd ditjen e të bërit shtëpi me mur	history_law_government	Sami Frashëri – Shqipëria ç’ka qënë, ç’është e ç’do të bëhetë
184bd37339847dfffd4d31847e656fd426ccc0b72a27559d1d867d62b0c9b914	Ndërtimi i ujësjellësitinë fshatin Firaë	general	krpp
1a5dea929091ef9638ac67b459401be195aab09f31e020fcb67ec27e77200945	√áallapek 	general	 
1cff6571eeef5b4f826598a1799c5d0622e0da2fee28fb95050e7d4bcbdcc85d	Rudine, Zveƒçan 	general	 
1d27cb774fbbed10973c40ae76e70ae3b271b5e5eb3b1af31cf3c48548c0533e	Ndërtimi i qendr rinore në komunën e gjilanit	general	krpp
1e76b3458d1ab7f2703ae60f8da53c2aad77933e9b8597237870ef432187c343	Renovimi i dyshemesë së nën kulmit në ndërtesën e Msh.	general	krpp
1e8e9d2700788fd548f2f4f4e35db96a0c9f2b234ffa9e0b6e1188b9367ac26f	Ndërtimi i rrugës bërnicë e epërmesharban	general	krpp
207d0c64424f085f3c0343d0cd3fc2541dedf7c5dc15072a42e3d4a41ad73907	Asfaltimi i rrugës Rezistencanë Skenderaj	general	krpp
240104d0fa3eff947eac05482271b57b1fc97a46ff66a191d01d1b5978d546c8	Sherbimet e pastrimitGodinat zyret oborri palestra etj	general	krpp
25b598e44385f50c94c6385be0cb77bbc5b36b0775d3e1ab514474fafd5f2ff7	Furnizim me një kombi për nevoja të qendrës kryesore të mjekësisë familjare	general	krpp
25bdc7c936acc8ec4944bebed8d6ac373de9fc104492cf4cfea9848b492ea95d	Kubëzimi i rrugës kuklibegkukk.k. dragash	general	krpp
25e2793a844a847835c3bbfb822e701192c7054f7ecdd1138eef570b3d530d40	Pastrimi i Automjeteve te Ministrisë së Drejtësisë në Prishtinë	general	krpp
2634636597d4265b87c9271ba7e70fcac6fbe3dcbe70789c3d7057f5ef434bea	Kanalizimi i jashtëm fekal te objekti banesor-social	general	krpp
263a95607b9ee226c2d4d1564285abe51bed762573807e6570a78b83d81f9e7e	Asfaltimi i rrugës fortesëxërxë	general	krpp
266b546bce12d17975efaa6c2e108f53e0e863c6c826072dd87d68902c172a4e	Largimi i mbeturinave nga deponitë ilegale në territorin e komunës	general	krpp
269ee1933c02b8323d0e4a4886142335e70e553487decb9bb09a65724ee5d55f	Furnizim me paisje mjeksore për nevojat e spitalit rajonal-mitrovicë	general	krpp
26a464aa37954854f40a0e606eee7958eaaafcf4a6c8d265ca6c665e3ba26410	Ofrimi i shërbimeve te sigurimit fizik te objekteve të doganës se kosovës	general	krpp
26a7ef550d0b06b2e434d42c9a22599d48e83be315b79ccef5e48a780d889a50	bartja me marimange e mjeteve te ndaluara apo te parkuara ne vendet e ndaluara	general	krpp
26b4b8e5688b9f7210ef06a6bd8987f8e9680f1b3b9acf716cd19b3cdd5ae340	Pastrimi i objektit te kpm-së	general	krpp
26d0e0433f3552fe0b4fdf8e53e265a841d9def65921130df260aced8ed7c3ca	Furnizim me pjese rezerv per trafostacione	general	krpp
271b8642331aba978664c5444b1aa36bb3414f02e79a497e8c8fbe1b4268b2cc	Rregullimi i kanalit të ujitjes prej fshatit doganaj deri në lagjen lekaj, faza i	general	krpp
277e38f8c4ad9b7645ff8a17a6b417c6390922cccb57b09a1950e89f2859c0b3	Servera dhe paisje teknike për Rtk-tre dhe Rtk-katër	general	krpp
27823a85fae011e4cde54427f3dadedd8e0c1d5f5a68ad01e4f0ab36cca003bd	Furnizimi me ballast.	general	krpp
27842d7d99b2f31dd71b8a2619fc8a41aa507b294f44855bdd943b21042b39ac	Zhvillimi i zonave rurale përmes avancimit të shërbimeve këshillimore	general	krpp
27bec7edf8f7ffc46a3b16ee3512d425f9abd007376121336e47e93c8f7900bc	Mendime për shpëtimt të mëmëdheut nga reziket që e kanë rethuarë.	history_law_government	Sami Frashëri – Shqipëria ç’ka qënë, ç’është e ç’do të bëhetë
281dc664ab986e1d087c7cf6919c61827475f80a84510aa4030eb0c3d6b524b3	Renovimi i qendrave te ndalimit ne regjione te pk dhe renovimi i sp istog.	general	krpp
281e9cc584bfcf9db4369a85413d5f76dcbc7fb3a77fae84b48e1ab6dda1f99d	Informimi publik për zgjedhjet e përgjithshme 	general	krpp
28610ce7f5173d851670bac4ea89964a1bb8ff3e9553971ed714fa7606ebe902	Ndërtimi me elemente betoni i rrugës Ismaet jashari Kumanova  Alajdin Berisha në Prizren	general	krpp
