sentence_id	sentence	locale	reason
183a291227d8c0c579f1a7d734707414c43586973f107ebedd90bdd3a11f4134	মাইলেজ কেনেকুৱা দিয়ে বাইকখনে?	as	grammar-or-spelling
183a291227d8c0c579f1a7d734707414c43586973f107ebedd90bdd3a11f4134	মাইলেজ কেনেকুৱা দিয়ে বাইকখনে?	as	difficult-pronounce
15d54b21bb85a46cabdd071c209a904fbcd9083649aab0981e92945ae9527ede	প্ৰায় দহ বছৰ বয়সত প্ৰাইমেৰী পৰীক্ষাত উৰ্ত্তীৰ্ণ হৈ তেওঁ বৃত্তি লাভ কৰে।	as	grammar-or-spelling
0037a847048619107671448953c807b342d14f8e3fa5c6bfe8d349dd44f1e97d	এওঁৰ ভয়ত সকলোৱে প্ৰকৃততে কঁপিও থাকে।	as	???? ???
2bb91cded801fc4537ef5981eea94cc87e513487eb93cdd47814514ff55accac	ঈশ্বৰ মোৰ সহায় হওক কি নহওকেই মই তেঁওক কেতিয়াও নেৰে।	as	grammar-or-spelling
309d94400ecb0f874f6d6bc82bdafd83dcfcacf037d792207bf7e5617a003009	আগদিনা ইমান আগ্ৰহেৰে আগ বাঢ়ি পিচ দিনা পলাব কিয়?	as	grammar-or-spelling
29814ba5a10d6218da587e3f3772de65606cac653546b947e56a23ab42b03adb	দেউতাকে কলে- "ই আপোনাৰ লগত থাকি ভাল পাইছে, পঢ়িছেও।"	as	grammar-or-spelling
2ed17074f832efae1edf414ce234fa31c791a85104e792b367a2cf8ca8104ef0	হোৱা এই খন লৈ যোৱা, যেতিয়া পৰামৰ্শ লবৰ দৰকাৰ হব তেতিয়া খুলি পঢ়ি চাবা।	as	grammar-or-spelling
173667f8d1fa16937ea6e3a528fb1f557d310a74e5e524040d115c20b507b6f1	পৰিষ্কাৰ-পৰিচ্ছন্নতা, স্বাস্থ্য সুৰক্ষা বিধি, বেমাৰৰ পৰা হাত সৰাৰ সাধাৰণ নিয়ম-প্রণালী আদি।	as	offensive-language
2bb91cded801fc4537ef5981eea94cc87e513487eb93cdd47814514ff55accac	ঈশ্বৰ মোৰ সহায় হওক কি নহওকেই মই তেঁওক কেতিয়াও নেৰে।	as	grammar-or-spelling
222afbf9a6d1d29d41ca4ee4381c8bd9b32175972794023b50233d89ea4abe27	বাপুৰ দৰেই সূৰ্য্য বুলি এজনক মা দেউতাই ঘৰতে ৰাখি পঢ়াশুনা কৰাই।	as	grammar-or-spelling
58e51e2bf97db2ce45f6ebdc73077478378f6b47cc83a1856ee49bf9c5a45ca1	ৰাজত্ব কালত নিমাৰ্ণ কৰা বিভিন্ন কীতিচিহ্নৰে নগৰ তথা সমগ্ৰ শিৱসাগৰ জিলাতে আছে।	as	grammar-or-spelling
55d3a7a78af8f01bcdfde9cc179280343c2733adada03bf844e54f1b3ae142bf	তেওঁৰ নিজা এনিমেশ্যন ষ্টুডিঅ' এখন আছে।	as	grammar-or-spelling
3ee3311399ce2c343e1ddd280b35c610c96f16f63708091c41b36ebfc7acacf0	অৱশেষত সেই মৰা কুকুৰটোৰ শবৰ কাষতে শুই সিংহটোৱেও প্ৰাণ এৰিলে।	as	grammar-or-spelling
46240376841ea3f47c9d8796601643c24d2f679753c85df094c3c81e85f71c31	চাৰিখন মহকুমাৰ সৈতে জিলা ৰূপে ঘোষণা কৰে।	as	grammar-or-spelling
20b04f149d5d89e51974070968309f928d4612be9fb5bdc673b6ce0568c198cc	কিন্তু এই সামান্য কথাবোৰৰ ইতিহাস জানিব পাৰিলে আমাৰ মনত নথৈ ৰঙ্গ লাগে	as	grammar-or-spelling
4fa7795a0cfb1074294f552f316262350389d5c9472346ec1de96c8d3eaa106c	পঁচিশ বছৰমান বয়সতে জালিৰ বিবা হৈছিল।	as	grammar-or-spelling
3ee3311399ce2c343e1ddd280b35c610c96f16f63708091c41b36ebfc7acacf0	অৱশেষত সেই মৰা কুকুৰটোৰ শবৰ কাষতে শুই সিংহটোৱেও প্ৰাণ এৰিলে।	as	grammar-or-spelling
632b8239c0ade2296452156153766672288e85461a63573f6c163616e4c37a8f	ইফালে জেঠেৰী বৈনাই, তেও খত এখন লৈহে টকা দিছে।	as	grammar-or-spelling
52d563269e022550385c02414a1cbfdfc522fe7086d0c1f2ffbda2bb9a0a9b55	তাতে সি খঙ কৰি ঘৰ এৰি গুছি আহি ৰেলত উঠিলে।	as	grammar-or-spelling
02ba26c3653a6ae903835169b86538d704a193b7b1a522e6b1b6081c37db26b8	ইতিমধ্যে এটা মানুহৰ ক'লা গৰু এজনী হেৰাইছিল।	as	grammar-or-spelling
3ee3311399ce2c343e1ddd280b35c610c96f16f63708091c41b36ebfc7acacf0	অৱশেষত সেই মৰা কুকুৰটোৰ শবৰ কাষতে শুই সিংহটোৱেও প্ৰাণ এৰিলে।	as	grammar-or-spelling
4f886b658b16e961446b65745dc7854cc5ee01af5d30f54b4e30329ee2690773	বিহুৰ তিন দিন আগতে বাবাজীয়ে নৰাই শৰ্ম্মাৰ বাকচ বন্ধ কৰি থৈ গৈছিল।	as	grammar-or-spelling
63fcfcdd552b0be93f1244bbf7d1621702a351fa9332d05ef1f26849b8508b71	যদিও ককাই ততালিকে আমাৰ হতুৱাই পকা চুলিকেইডাল নিৰ্মুল কৰোৱালে	as	grammar-or-spelling
586045c68744e64fb44e0a7d2528b5640a073e3ddff2f0908698af0ff6d865bb	সেই পোক বা পৰুৱাটো জীৰ্ণ নেই মানে পাতটো মুকলি নহয়।	as	grammar-or-spelling
4a1ee932bb998c06b1895b8c13fcc0d09fad2ee3fc1e5df778335566819d19cd	বামুণে উঠি গছজোপাৰ চাৰিওফালে ঘূৰিবলৈ ধৰিলে আৰু গাহৰি টূঘূৰিবলৈ ধৰিলে।	as	grammar-or-spelling
49f883a6540b29ee01c23639a9544c9a12933674cd321f0d94c2c19e8f9fff48	আমি অসমীয়াই পুৰণি কালকে সাবট মাৰি ধৰি বহি আছোহক।	as	grammar-or-spelling
55d3a7a78af8f01bcdfde9cc179280343c2733adada03bf844e54f1b3ae142bf	তেওঁৰ নিজা এনিমেশ্যন ষ্টুডিঅ' এখন আছে।	as	grammar-or-spelling
49209e2a284644fd7e333f80fdb41d34b8a5735dfe62dbce5161cd7246d9d41b	কোনাে ঠাইত অসংখ্য চৰ-খুতি মাৰি গায়ে গায়ে ৰান্ধি খাইছে	as	grammar-or-spelling
099074214fdac0d77d6d20119a98fb1f90155d1a8ca7deed52a81afe9b831c34	দুদিনৰ পাচত নৰায়ে থত এখন লৈ পাঁচশ টকা ৰূপ চোনিৰামক ধাৰে দিলে।	as	grammar-or-spelling
