clip	duration[ms]
common_voice_eu_39612911.mp3	4608
common_voice_eu_39644146.mp3	4680
common_voice_eu_39842736.mp3	7668
common_voice_eu_39606808.mp3	4536
common_voice_eu_39923426.mp3	3636
common_voice_eu_39892598.mp3	6480
common_voice_eu_40106869.mp3	4608
common_voice_eu_39695667.mp3	6480
common_voice_eu_40108429.mp3	6048
common_voice_eu_39720816.mp3	4068
common_voice_eu_39929626.mp3	3744
common_voice_eu_40140839.mp3	5940
common_voice_eu_39612055.mp3	5400
common_voice_eu_39670879.mp3	5256
common_voice_eu_39805130.mp3	5328
common_voice_eu_39962865.mp3	5868
common_voice_eu_39958313.mp3	7524
common_voice_eu_39963606.mp3	7776
common_voice_eu_39882089.mp3	7776
common_voice_eu_39637771.mp3	1728
common_voice_eu_39899831.mp3	6192
common_voice_eu_39636959.mp3	2160
common_voice_eu_40135898.mp3	4716
common_voice_eu_40046533.mp3	4176
common_voice_eu_39691634.mp3	4356
common_voice_eu_40115530.mp3	4500
common_voice_eu_39769538.mp3	4068
common_voice_eu_40112282.mp3	5724
common_voice_eu_40054181.mp3	3528
common_voice_eu_39683188.mp3	4320
common_voice_eu_39600931.mp3	3816
common_voice_eu_39994168.mp3	10440
common_voice_eu_39613116.mp3	3708
common_voice_eu_39755042.mp3	8496
common_voice_eu_39829023.mp3	5976
common_voice_eu_40107083.mp3	8136
common_voice_eu_39615069.mp3	9648
common_voice_eu_39847174.mp3	6588
common_voice_eu_39691742.mp3	4320
common_voice_eu_40127918.mp3	6876
common_voice_eu_39723203.mp3	7848
common_voice_eu_39638422.mp3	1800
common_voice_eu_39689961.mp3	3456
common_voice_eu_39769393.mp3	4896
common_voice_eu_39994420.mp3	2916
common_voice_eu_40182703.mp3	4176
common_voice_eu_39708391.mp3	7956
common_voice_eu_39722953.mp3	3960
common_voice_eu_39677494.mp3	3168
common_voice_eu_39841627.mp3	4140
common_voice_eu_40180436.mp3	5688
common_voice_eu_39935288.mp3	4500
common_voice_eu_39979171.mp3	7056
common_voice_eu_39626049.mp3	7380
common_voice_eu_40018791.mp3	7596
common_voice_eu_39931507.mp3	5904
common_voice_eu_39894699.mp3	7776
common_voice_eu_39936132.mp3	5508
common_voice_eu_39931586.mp3	3636
common_voice_eu_39662386.mp3	8352
common_voice_eu_39904075.mp3	6480
common_voice_eu_40130204.mp3	4968
common_voice_eu_40002072.mp3	7380
common_voice_eu_39935195.mp3	4032
common_voice_eu_39930075.mp3	5616
common_voice_eu_40098095.mp3	5868
common_voice_eu_39638129.mp3	6480
common_voice_eu_39636683.mp3	1836
common_voice_eu_39722985.mp3	4356
common_voice_eu_39676781.mp3	6048
common_voice_eu_39788286.mp3	5544
common_voice_eu_39626437.mp3	3276
common_voice_eu_39611967.mp3	5868
common_voice_eu_39764015.mp3	5148
common_voice_eu_39847235.mp3	3384
common_voice_eu_39805077.mp3	6300
common_voice_eu_40129896.mp3	9540
common_voice_eu_39662439.mp3	3348
common_voice_eu_39923119.mp3	5292
common_voice_eu_40019348.mp3	4140
common_voice_eu_39928624.mp3	5112
common_voice_eu_39681875.mp3	7560
common_voice_eu_39615239.mp3	4788
common_voice_eu_39622250.mp3	5508
common_voice_eu_39742142.mp3	4608
common_voice_eu_39696219.mp3	3636
common_voice_eu_40161205.mp3	4320
common_voice_eu_39986228.mp3	4644
common_voice_eu_39932955.mp3	5220
common_voice_eu_39649724.mp3	8676
common_voice_eu_39792583.mp3	6336
common_voice_eu_39678213.mp3	4608
common_voice_eu_39924084.mp3	5688
common_voice_eu_39714835.mp3	6264
common_voice_eu_39750548.mp3	3456
common_voice_eu_39641540.mp3	6408
common_voice_eu_39632181.mp3	7416
common_voice_eu_39621597.mp3	5688
common_voice_eu_39666852.mp3	8748
common_voice_eu_39698601.mp3	7020
common_voice_eu_39690534.mp3	4536
common_voice_eu_39758060.mp3	6156
common_voice_eu_39644066.mp3	4140
common_voice_eu_39973604.mp3	6300
common_voice_eu_39689343.mp3	3888
common_voice_eu_39705610.mp3	2520
common_voice_eu_39612237.mp3	4968
